Date,Open,High,Low,Close,Volume
2/17/1998 16:00:00,17.5,17.75,17.25,17.56,316600
2/18/1998 16:00:00,17.5,17.94,17.5,17.56,279200
2/19/1998 16:00:00,17.5,17.75,17.25,17.5,225000
2/20/1998 16:00:00,17.63,18.31,17.5,18.31,194300
2/23/1998 16:00:00,18.31,18.44,18,18.25,65000
2/24/1998 16:00:00,18.19,18.31,18.06,18.13,17000
2/25/1998 16:00:00,18.19,18.81,18.06,18.44,134200
2/26/1998 16:00:00,18.5,18.63,18.31,18.44,143000
2/27/1998 16:00:00,18.44,18.44,18.31,18.38,52400
3/2/1998 16:00:00,18.19,18.44,18.06,18.31,77500
3/3/1998 16:00:00,18.06,18.31,18,18.13,112600
3/4/1998 16:00:00,18.06,18.25,17.94,18,14300
3/5/1998 16:00:00,17.75,18.19,17.75,18.06,62600
3/6/1998 16:00:00,18,18.19,18,18.06,72000
3/9/1998 16:00:00,18.19,18.44,18.06,18.06,107400
3/11/1998 16:00:00,18.94,19,18.56,18.94,53900
3/12/1998 16:00:00,18.94,19,18.63,18.81,63900
3/13/1998 16:00:00,18.94,19.69,18.94,19.63,42900
3/16/1998 16:00:00,18.94,20.25,18.63,20.19,253400
3/17/1998 16:00:00,19.38,20.25,19.38,19.44,245300
3/18/1998 16:00:00,19.69,19.75,19.5,19.63,35100
3/19/1998 16:00:00,19.5,19.94,19.5,19.94,79800
3/20/1998 16:00:00,19.94,20,19.5,19.69,57200
3/23/1998 16:00:00,19.38,19.69,19.25,19.25,150400
3/24/1998 16:00:00,18.88,19.63,18.56,19.44,57100
3/25/1998 16:00:00,19.5,19.5,19.06,19.06,87400
3/26/1998 16:00:00,19,19.06,19,19,172900
3/27/1998 16:00:00,19.13,19.13,18.5,18.69,66000
3/30/1998 16:00:00,18.56,18.69,18,18.69,128400
3/31/1998 16:00:00,18.56,18.69,18,18.13,117700
4/1/1998 16:00:00,18.13,18.25,17.63,18.13,162100
4/2/1998 16:00:00,18.25,18.31,18,18.19,87300
4/3/1998 16:00:00,17.94,18,17.81,18,99900
4/6/1998 16:00:00,17.94,18,17.81,18,34000
4/7/1998 16:00:00,17.94,18,17.81,17.88,34500
4/8/1998 16:00:00,17.75,17.88,17.56,17.75,77700
4/9/1998 16:00:00,17.88,18.06,17.88,18,19300
4/13/1998 16:00:00,17.88,17.94,17.56,17.81,48000
4/14/1998 16:00:00,17.94,18.25,17.88,18.06,180400
4/15/1998 16:00:00,18.06,18.56,18.06,18.31,147900
4/16/1998 16:00:00,18.13,18.13,17.31,17.56,51200
4/17/1998 16:00:00,17.81,18.88,17.81,18.63,78100
4/20/1998 16:00:00,18.56,18.94,18.5,18.94,48800
4/21/1998 16:00:00,19.06,19.19,18.13,18.38,43400
4/22/1998 16:00:00,18.38,19,18.25,18.88,37000
4/23/1998 16:00:00,18.88,18.88,18.31,18.31,99900
4/24/1998 16:00:00,18.25,18.5,17.94,18,28400
4/27/1998 16:00:00,17.75,17.88,17.13,17.31,107000
4/28/1998 16:00:00,17.56,18.75,17.56,18.69,132900
4/29/1998 16:00:00,18.63,18.75,18.44,18.69,106000
4/30/1998 16:00:00,18.69,18.94,18.69,18.75,71200
5/1/1998 16:00:00,18.69,18.81,18.63,18.63,72700
5/4/1998 16:00:00,18.75,18.81,18.63,18.63,16200
5/5/1998 16:00:00,18.63,18.81,18.56,18.63,49600
5/6/1998 16:00:00,18.63,19,18.63,18.81,26000
5/7/1998 16:00:00,18.63,18.88,18.63,18.81,31300
5/8/1998 16:00:00,18.88,19.06,18.81,18.88,30000
5/11/1998 16:00:00,19,19.25,19,19,139700
5/12/1998 16:00:00,19,19.06,18.88,18.88,24200
5/13/1998 16:00:00,18.88,19.25,18.88,19,20800
5/14/1998 16:00:00,19,19.31,19,19.13,57500
5/15/1998 16:00:00,19.13,19.44,19.13,19.31,121600
5/18/1998 16:00:00,19.38,19.5,19.25,19.31,158000
5/19/1998 16:00:00,19.31,19.31,18.88,19.13,34800
5/20/1998 16:00:00,18.81,19,18.81,18.88,60200
5/21/1998 16:00:00,18.88,19.06,18.88,19,12500
5/22/1998 16:00:00,18.88,19.06,18.56,18.56,54000
5/27/1998 16:00:00,18.56,18.81,18.56,18.75,65000
5/29/1998 16:00:00,19,19.25,19,19.13,32800
6/1/1998 16:00:00,19.19,19.19,19,19,31000
6/2/1998 16:00:00,19,19.06,19,19,48200
6/3/1998 16:00:00,19,19.13,18.63,19,160100
6/4/1998 16:00:00,19,19.06,19,19.06,63800
6/5/1998 16:00:00,19,19.19,19,19.13,32900
6/8/1998 16:00:00,19.19,19.5,19.19,19.5,58500
6/9/1998 16:00:00,19.38,19.69,19.38,19.69,55600
6/10/1998 16:00:00,19.69,19.69,19.31,19.5,42400
6/11/1998 16:00:00,19.63,19.69,18.81,18.88,48100
6/12/1998 16:00:00,18.81,19.19,18.69,18.81,40300
6/15/1998 16:00:00,18.56,18.69,18.38,18.69,40500
6/16/1998 16:00:00,18.75,18.88,18.63,18.88,39400
6/17/1998 16:00:00,18.94,19.5,18.94,19.19,77400
6/18/1998 16:00:00,19.19,19.19,18.75,18.75,124500
6/19/1998 16:00:00,18.75,18.81,18.56,18.56,140600
6/22/1998 16:00:00,18.75,18.81,18.56,18.69,104100
6/23/1998 16:00:00,18.56,18.75,18.56,18.69,34200
6/24/1998 16:00:00,18.81,18.81,18.31,18.75,44700
6/25/1998 16:00:00,18.69,18.94,18.63,18.63,88400
6/26/1998 16:00:00,18.5,18.81,18.44,18.69,30700
6/29/1998 16:00:00,18.44,18.88,18.44,18.81,28300
6/30/1998 16:00:00,18.88,18.88,18.19,18.19,45800
7/1/1998 16:00:00,18.13,18.69,18.13,18.19,54400
7/2/1998 16:00:00,17.94,18,17,17,162300
7/7/1998 16:00:00,17.38,17.38,16.94,17,27700
7/8/1998 16:00:00,16.88,17.13,16.56,16.94,47600
7/9/1998 16:00:00,17,17.06,16.75,17,18800
7/10/1998 16:00:00,17.06,17.19,17.06,17.13,4600
7/13/1998 16:00:00,17.06,17.25,17.06,17.13,15400
7/14/1998 16:00:00,17.06,17.25,17,17.19,15800
7/16/1998 16:00:00,17,17,16.69,17,34800
7/17/1998 16:00:00,16.88,17.19,16.88,17.19,9400
7/20/1998 16:00:00,17.19,17.19,16.88,17,18900
7/21/1998 16:00:00,16.88,17,16.5,16.56,24700
7/22/1998 16:00:00,16.5,16.5,16.06,16.31,74200
7/23/1998 16:00:00,16.25,16.31,15.56,15.81,24100
7/24/1998 16:00:00,15.69,15.88,15.56,15.63,12700
