Date,Open,High,Low,Close,Volume
1/2/1973 16:00:00,4.45,4.45,4.45,4.45,0
1/3/1973 16:00:00,4.45,4.45,4.45,4.45,0
1/4/1973 16:00:00,4.47,4.47,4.47,4.47,0
1/5/1973 16:00:00,4.5,4.5,4.5,4.5,0
1/8/1973 16:00:00,4.53,4.53,4.53,4.53,0
1/9/1973 16:00:00,4.55,4.55,4.55,4.55,0
1/10/1973 16:00:00,4.53,4.53,4.53,4.53,0
1/11/1973 16:00:00,4.59,4.59,4.59,4.59,0
1/12/1973 16:00:00,4.59,4.59,4.59,4.59,0
1/15/1973 16:00:00,4.59,4.59,4.59,4.59,0
1/16/1973 16:00:00,4.59,4.59,4.59,4.59,0
1/17/1973 16:00:00,4.56,4.56,4.56,4.56,0
1/18/1973 16:00:00,4.58,4.58,4.58,4.58,0
1/19/1973 16:00:00,4.58,4.58,4.58,4.58,0
1/22/1973 16:00:00,4.72,4.72,4.72,4.72,0
1/23/1973 16:00:00,4.73,4.73,4.73,4.73,0
1/24/1973 16:00:00,4.72,4.72,4.72,4.72,0
1/26/1973 16:00:00,4.67,4.67,4.67,4.67,0
1/29/1973 16:00:00,4.67,4.67,4.67,4.67,0
1/30/1973 16:00:00,4.64,4.64,4.64,4.64,0
1/31/1973 16:00:00,4.56,4.56,4.56,4.56,0
2/1/1973 16:00:00,4.5,4.5,4.5,4.5,0
2/2/1973 16:00:00,4.38,4.38,4.38,4.38,0
2/5/1973 16:00:00,4.34,4.34,4.34,4.34,0
2/6/1973 16:00:00,4.31,4.31,4.31,4.31,0
2/7/1973 16:00:00,4.22,4.22,4.22,4.22,0
2/8/1973 16:00:00,4.22,4.22,4.22,4.22,0
2/9/1973 16:00:00,4.47,4.47,4.47,4.47,0
2/12/1973 16:00:00,4.58,4.58,4.58,4.58,0
2/13/1973 16:00:00,4.69,4.69,4.69,4.69,0
2/14/1973 16:00:00,4.63,4.63,4.63,4.63,0
2/15/1973 16:00:00,4.59,4.59,4.59,4.59,0
2/16/1973 16:00:00,4.59,4.59,4.59,4.59,0
2/19/1973 16:00:00,4.59,4.59,4.59,4.59,0
2/20/1973 16:00:00,4.59,4.59,4.59,4.59,0
2/21/1973 16:00:00,4.63,4.63,4.63,4.63,12400
2/22/1973 16:00:00,4.64,4.64,4.64,4.64,5900
2/23/1973 16:00:00,4.63,4.63,4.63,4.63,16700
2/26/1973 16:00:00,4.63,4.63,4.63,4.63,3000
2/27/1973 16:00:00,4.63,4.63,4.63,4.63,5200
2/28/1973 16:00:00,4.63,4.63,4.63,4.63,8300
3/1/1973 16:00:00,4.66,4.66,4.66,4.66,11700
3/2/1973 16:00:00,4.67,4.67,4.67,4.67,3300
3/5/1973 16:00:00,4.73,4.73,4.73,4.73,8500
3/6/1973 16:00:00,4.88,4.88,4.88,4.88,9600
3/7/1973 16:00:00,4.88,4.88,4.88,4.88,6400
3/8/1973 16:00:00,4.91,4.91,4.91,4.91,10600
3/9/1973 16:00:00,4.91,4.91,4.91,4.91,9800
3/12/1973 16:00:00,4.89,4.89,4.89,4.89,9200
3/13/1973 16:00:00,4.91,4.91,4.91,4.91,5900
3/14/1973 16:00:00,4.92,4.92,4.92,4.92,6300
3/15/1973 16:00:00,4.91,4.91,4.91,4.91,8800
3/16/1973 16:00:00,4.89,4.89,4.89,4.89,5600
3/19/1973 16:00:00,4.84,4.84,4.84,4.84,3500
3/20/1973 16:00:00,4.75,4.75,4.75,4.75,8600
3/21/1973 16:00:00,4.69,4.69,4.69,4.69,11800
3/22/1973 16:00:00,4.61,4.61,4.61,4.61,6900
3/23/1973 16:00:00,4.61,4.61,4.61,4.61,14700
3/26/1973 16:00:00,4.59,4.59,4.59,4.59,1200
3/27/1973 16:00:00,4.59,4.59,4.59,4.59,1900
3/28/1973 16:00:00,4.66,4.66,4.66,4.66,17700
3/29/1973 16:00:00,4.72,4.72,4.72,4.72,15000
3/30/1973 16:00:00,4.72,4.72,4.72,4.72,10700
4/2/1973 16:00:00,4.69,4.69,4.69,4.69,6600
4/3/1973 16:00:00,4.66,4.66,4.66,4.66,2900
4/4/1973 16:00:00,4.63,4.63,4.63,4.63,9800
4/5/1973 16:00:00,4.61,4.61,4.61,4.61,9800
4/6/1973 16:00:00,4.61,4.61,4.61,4.61,4500
4/9/1973 16:00:00,4.61,4.61,4.61,4.61,3500
4/10/1973 16:00:00,4.72,4.72,4.72,4.72,11100
4/11/1973 16:00:00,4.75,4.75,4.75,4.75,18000
4/12/1973 16:00:00,4.81,4.81,4.81,4.81,17600
4/13/1973 16:00:00,4.81,4.81,4.81,4.81,1700
4/16/1973 16:00:00,4.81,4.81,4.81,4.81,5000
4/17/1973 16:00:00,4.69,4.69,4.69,4.69,11600
4/18/1973 16:00:00,4.67,4.67,4.67,4.67,3200
4/19/1973 16:00:00,4.69,4.69,4.69,4.69,4900
4/23/1973 16:00:00,4.63,4.63,4.63,4.63,6000
4/24/1973 16:00:00,4.59,4.59,4.59,4.59,16800
4/25/1973 16:00:00,4.56,4.56,4.56,4.56,7400
4/26/1973 16:00:00,4.56,4.56,4.56,4.56,4200
4/27/1973 16:00:00,4.53,4.53,4.53,4.53,4600
4/30/1973 16:00:00,4.47,4.47,4.47,4.47,11400
5/1/1973 16:00:00,4.44,4.44,4.44,4.44,36900
5/2/1973 16:00:00,4.45,4.45,4.45,4.45,7700
5/3/1973 16:00:00,4.44,4.5,4.44,4.44,7000
5/4/1973 16:00:00,4.48,4.55,4.48,4.48,5400
5/7/1973 16:00:00,4.5,4.56,4.5,4.5,5300
5/8/1973 16:00:00,4.52,4.58,4.52,4.52,3600
5/9/1973 16:00:00,4.64,4.7,4.64,4.64,7300
5/10/1973 16:00:00,4.75,4.81,4.75,4.75,8800
5/11/1973 16:00:00,4.77,4.83,4.77,4.77,3300
5/14/1973 16:00:00,4.59,4.66,4.59,4.59,18900
5/15/1973 16:00:00,4.58,4.64,4.58,4.58,20400
5/16/1973 16:00:00,4.67,4.73,4.67,4.67,9400
5/17/1973 16:00:00,4.67,4.73,4.67,4.67,3400
5/18/1973 16:00:00,4.63,4.69,4.63,4.63,7400
5/21/1973 16:00:00,4.61,4.67,4.61,4.61,7600
5/22/1973 16:00:00,4.66,4.72,4.66,4.66,11900
5/23/1973 16:00:00,4.67,4.73,4.67,4.67,4300
5/24/1973 16:00:00,4.78,4.84,4.78,4.78,7500
5/25/1973 16:00:00,4.84,4.91,4.84,4.84,13900
5/29/1973 16:00:00,4.88,4.94,4.88,4.88,18100
5/30/1973 16:00:00,4.8,4.86,4.8,4.8,11300
5/31/1973 16:00:00,4.8,4.86,4.8,4.8,4500
6/1/1973 16:00:00,4.8,4.86,4.8,4.8,5900
6/4/1973 16:00:00,4.58,4.64,4.58,4.58,14900
6/5/1973 16:00:00,4.5,4.56,4.5,4.5,12700
6/6/1973 16:00:00,4.44,4.5,4.44,4.44,4000
6/7/1973 16:00:00,4.47,4.53,4.47,4.47,3900
6/8/1973 16:00:00,4.48,4.55,4.48,4.48,12300
6/11/1973 16:00:00,4.5,4.56,4.5,4.5,7300
6/12/1973 16:00:00,4.55,4.61,4.55,4.55,18600
6/13/1973 16:00:00,4.56,4.63,4.56,4.56,5100
6/14/1973 16:00:00,4.59,4.66,4.59,4.59,6700
6/15/1973 16:00:00,4.55,4.61,4.55,4.55,5400
6/18/1973 16:00:00,4.47,4.53,4.47,4.47,3900
6/19/1973 16:00:00,4.42,4.48,4.42,4.42,10400
6/20/1973 16:00:00,4.39,4.45,4.39,4.39,3800
6/21/1973 16:00:00,4.38,4.44,4.38,4.38,9800
6/22/1973 16:00:00,4.38,4.44,4.38,4.38,7300
6/25/1973 16:00:00,4.3,4.36,4.3,4.3,5800
6/26/1973 16:00:00,4.33,4.39,4.33,4.33,5500
6/27/1973 16:00:00,4.31,4.38,4.31,4.31,11300
6/28/1973 16:00:00,4.27,4.33,4.27,4.27,7200
6/29/1973 16:00:00,4.28,4.34,4.28,4.28,20000
7/2/1973 16:00:00,4.31,4.38,4.31,4.31,3100
7/3/1973 16:00:00,4.3,4.36,4.3,4.3,5600
7/5/1973 16:00:00,4.28,4.34,4.28,4.28,3100
7/6/1973 16:00:00,4.28,4.34,4.28,4.28,4700
7/9/1973 16:00:00,4.31,4.38,4.31,4.31,5300
7/10/1973 16:00:00,4.34,4.41,4.34,4.34,4100
7/11/1973 16:00:00,4.36,4.42,4.36,4.36,1500
7/12/1973 16:00:00,4.34,4.41,4.34,4.34,3000
7/13/1973 16:00:00,4.38,4.44,4.38,4.38,7400
7/16/1973 16:00:00,4.41,4.47,4.41,4.41,2100
7/17/1973 16:00:00,4.44,4.5,4.44,4.44,13800
7/18/1973 16:00:00,4.56,4.63,4.56,4.56,16100
7/19/1973 16:00:00,4.86,4.92,4.86,4.86,19700
7/20/1973 16:00:00,4.98,5.05,4.98,4.98,42700
7/23/1973 16:00:00,4.94,5,4.94,4.94,13800
7/24/1973 16:00:00,4.91,4.97,4.91,4.91,12600
7/25/1973 16:00:00,4.91,4.97,4.91,4.91,5800
7/26/1973 16:00:00,4.91,4.97,4.91,4.91,10300
7/27/1973 16:00:00,4.88,4.94,4.88,4.88,7700
7/30/1973 16:00:00,4.84,4.91,4.84,4.84,3200
7/31/1973 16:00:00,4.84,4.91,4.84,4.84,3900
8/1/1973 16:00:00,4.78,4.84,4.78,4.78,5900
8/2/1973 16:00:00,4.7,4.77,4.7,4.7,10100
8/3/1973 16:00:00,4.7,4.77,4.7,4.7,6000
8/6/1973 16:00:00,4.69,4.75,4.69,4.69,5200
8/7/1973 16:00:00,4.69,4.75,4.69,4.69,400
8/8/1973 16:00:00,4.64,4.7,4.64,4.64,9100
8/9/1973 16:00:00,4.69,4.75,4.69,4.69,3700
8/10/1973 16:00:00,4.7,4.77,4.7,4.7,4100
8/13/1973 16:00:00,4.69,4.75,4.69,4.69,2400
8/14/1973 16:00:00,4.69,4.75,4.69,4.69,6700
8/15/1973 16:00:00,4.67,4.73,4.67,4.67,3100
8/16/1973 16:00:00,4.67,4.73,4.67,4.67,5600
8/17/1973 16:00:00,4.72,4.78,4.72,4.72,3700
8/20/1973 16:00:00,4.72,4.78,4.72,4.72,7300
8/21/1973 16:00:00,4.72,4.78,4.72,4.72,2800
8/22/1973 16:00:00,4.66,4.72,4.66,4.66,8000
8/23/1973 16:00:00,4.66,4.72,4.66,4.66,800
8/24/1973 16:00:00,4.67,4.73,4.67,4.67,2200
8/27/1973 16:00:00,4.69,4.75,4.69,4.69,7200
8/28/1973 16:00:00,4.75,4.81,4.75,4.75,6400
8/29/1973 16:00:00,4.81,4.88,4.81,4.81,19200
8/30/1973 16:00:00,4.75,4.81,4.75,4.75,6300
8/31/1973 16:00:00,4.78,4.84,4.78,4.78,3100
9/4/1973 16:00:00,4.8,4.86,4.8,4.8,6700
9/5/1973 16:00:00,4.77,4.83,4.77,4.77,8300
9/6/1973 16:00:00,4.78,4.84,4.78,4.78,19200
9/7/1973 16:00:00,4.84,4.91,4.84,4.84,20100
9/10/1973 16:00:00,4.88,4.94,4.88,4.88,13400
9/11/1973 16:00:00,4.81,4.88,4.81,4.81,6400
9/12/1973 16:00:00,4.8,4.86,4.8,4.8,2600
9/13/1973 16:00:00,4.81,4.88,4.81,4.81,7200
