Date,Open,High,Low,Close,Volume
4/9/2021 17:00:00,1837,1837,1837,1837,2
4/20/2021 17:00:00,1950,1950,1950,1950,17
4/26/2021 17:00:00,1920,1920,1920,1920,12
4/27/2021 17:00:00,1920,1920,1920,1920,30
5/5/2021 17:00:00,2061,2061,2061,2061,1
5/6/2021 17:00:00,2070.5,2070.5,2070.5,2070.5,1
5/12/2021 17:00:00,2042,2042,2042,2042,109
5/13/2021 17:00:00,2075,2075,2075,2075,2
6/1/2021 17:00:00,2260,2260,2220,2227,100
6/2/2021 17:00:00,2186,2186,2186,2186,2
6/8/2021 17:00:00,2230.5,2230.5,2230.5,2230.5,1
6/9/2021 17:00:00,2183,2183,2183,2183,9
6/10/2021 17:00:00,2184.5,2184.5,2180,2180,37
6/11/2021 17:00:00,2185,2185.5,2185,2185.5,74
6/14/2021 17:00:00,2126.5,2126.5,2126.5,2126.5,149
6/15/2021 17:00:00,2174,2174,2174,2174,200
6/16/2021 17:00:00,2194.5,2194.5,2194.5,2194.5,15
6/17/2021 17:00:00,2179.5,2180,2179.5,2180,4
6/23/2021 17:00:00,2174.5,2175,2174.5,2174.5,60
6/24/2021 17:00:00,2160,2160,2128,2128,19
6/28/2021 17:00:00,2190,2190,2190,2190,67
7/1/2021 17:00:00,2218.5,2218.5,2218.5,2218.5,1
7/8/2021 17:00:00,2192,2192,2192,2192,1
7/14/2021 17:00:00,2222,2222,2222,2222,42
8/4/2021 17:00:00,2349.5,2349.5,2339.5,2339.5,12
8/5/2021 17:00:00,2305,2322.5,2275,2291.5,181
8/9/2021 17:00:00,2349.5,2349.5,2349.5,2349.5,98
8/10/2021 17:00:00,2358.5,2360,2355.5,2359,181
8/11/2021 17:00:00,2373.5,2373.5,2373.5,2373.5,2
8/13/2021 17:00:00,2320,2320,2320,2320,8
8/18/2021 17:00:00,2321,2321,2321,2321,1
9/1/2021 17:00:00,2322,2322,2322,2322,12
9/2/2021 17:00:00,2286,2286,2286,2286,11
9/27/2021 17:00:00,2452,2452,2452,2452,2
10/22/2021 17:00:00,2580,2580,2580,2580,787
10/29/2021 17:00:00,2723,2723,2723,2723,1
11/3/2021 17:00:00,2817.5,2817.5,2817.5,2817.5,1
11/8/2021 17:00:00,2845,2845,2845,2845,9
11/10/2021 17:00:00,2768.5,2768.5,2768.5,2768.5,1
11/16/2021 17:00:00,2730,2730,2730,2730,5130
11/17/2021 17:00:00,2738,2738,2738,2738,146
11/26/2021 17:00:00,2800,2800,2800,2800,1
11/29/2021 17:00:00,2741,2743,2736,2738.5,30
12/3/2021 17:00:00,2782.5,2782.5,2782.5,2782.5,1
12/16/2021 17:00:00,2783,2783,2783,2783,10
12/23/2021 17:00:00,2900,2900,2900,2900,3
12/29/2021 17:00:00,2740,2740,2740,2740,4
1/4/2022 17:00:00,2884,2884,2884,2884,11
1/7/2022 17:00:00,3049,3049,3049,3049,1
1/10/2022 17:00:00,3106,3106,3106,3106,2
1/19/2022 17:00:00,3029,3029,3029,3029,8
1/27/2022 17:00:00,3349,3349,3349,3349,2
1/31/2022 17:00:00,3143,3143,2800,2800,26
2/14/2022 17:00:00,3060,3060,3060,3060,3
2/22/2022 17:00:00,2934,2934,2934,2934,27
2/23/2022 17:00:00,2888,2888,2888,2888,2
2/24/2022 17:00:00,2784.5,2784.5,2784.5,2784.5,3
3/9/2022 17:00:00,2948.5,2970,2924,2926.5,7
3/14/2022 17:00:00,2860,2860,2798.5,2813.5,25
4/1/2022 17:00:00,3030,3030,3030,3030,1
4/11/2022 17:00:00,3200,3200,3200,3200,30
4/13/2022 17:00:00,3020,3020,3020,3020,8
4/19/2022 17:00:00,3003,3003,3003,3003,1
4/21/2022 17:00:00,3150,3150,3150,3150,104
4/27/2022 17:00:00,3230,3230,3230,3230,22
5/2/2022 17:00:00,3035,3035,3035,3035,2
5/4/2022 17:00:00,3025,3025,3025,3025,16410
5/6/2022 17:00:00,3005,3005,3005,3005,8228
5/9/2022 17:00:00,3015,3015,3015,3015,8228
5/10/2022 17:00:00,2970,2970,2970,2970,9
5/27/2022 17:00:00,3065.5,3065.5,3065.5,3065.5,1
