Date,Open,High,Low,Close,Volume
11/29/1999 16:00:00,90.5,90.5,90.5,90.5,50000
11/30/1999 16:00:00,90.75,92.5,89.81,89.88,738200
12/1/1999 16:00:00,90.75,92.5,89.81,89.88,738200
12/7/1999 16:00:00,92,92.19,91,92.19,101000
12/8/1999 16:00:00,94.81,97.19,94.81,96.94,195000
12/9/1999 16:00:00,97.75,99.44,97.25,99.25,100600
12/10/1999 16:00:00,99.81,104.06,99.81,104.06,28200
12/13/1999 16:00:00,104.94,105,104.94,105,25000
12/14/1999 16:00:00,108.31,108.38,107.56,107.81,150000
12/15/1999 16:00:00,106.38,108,106.38,108,200600
12/16/1999 16:00:00,103,103,92.5,94.63,90700
12/17/1999 16:00:00,97,97.25,91.88,92.25,125100
12/20/1999 16:00:00,92.81,96.88,92.81,96.88,120100
12/27/1999 16:00:00,100,102.06,100,100,50100
12/28/1999 16:00:00,101,101,101,101,100
12/30/1999 16:00:00,99.75,99.81,99.75,99.81,9600
1/3/2000 16:00:00,99,99,96.75,96.75,247300
1/5/2000 16:00:00,92,92,90,90,81000
1/7/2000 16:00:00,89,89,87.56,88.25,225600
1/11/2000 16:00:00,93.88,93.88,93.25,93.25,153700
1/12/2000 16:00:00,93.5,93.5,93.5,93.5,400
1/13/2000 16:00:00,92,92,92,92,4200
1/14/2000 16:00:00,92,93,92,93,900
1/18/2000 16:00:00,92,97,92,97,600
1/19/2000 16:00:00,92,101.25,92,101.25,53500
1/20/2000 16:00:00,102.94,104.75,102.94,104.75,150000
1/21/2000 16:00:00,106.25,106.25,106.25,106.25,50000
1/27/2000 16:00:00,105.5,105.56,105.5,105.56,30000
1/28/2000 16:00:00,105,105,98.75,98.75,6545300
1/31/2000 16:00:00,101,107,101,107,600
2/1/2000 16:00:00,101,107,101,107,600
2/2/2000 16:00:00,101,107,101,107,600
2/3/2000 16:00:00,102.13,102.19,102.13,102.19,13200
2/4/2000 16:00:00,102.38,102.38,102.38,102.38,30000
2/7/2000 16:00:00,100,100,98,98,600
2/8/2000 16:00:00,100,100.5,100,100.5,50400
2/9/2000 16:00:00,100.81,100.81,100.81,100.81,150000
2/10/2000 16:00:00,101.81,101.81,98,98,3100
2/11/2000 16:00:00,97.88,97.88,96,96,11600
2/14/2000 16:00:00,97,97,94,94,700
