Date,Open,High,Low,Close,Volume
1/2/1970 16:00:00,1.25,1.25,1.22,1.22,1195200
1/5/1970 16:00:00,1.22,1.22,1.19,1.19,964800
1/6/1970 16:00:00,1.19,1.21,1.18,1.21,1036800
1/7/1970 16:00:00,1.21,1.22,1.2,1.21,331200
1/8/1970 16:00:00,1.21,1.23,1.21,1.22,460800
1/9/1970 16:00:00,1.22,1.24,1.22,1.22,748800
1/12/1970 16:00:00,1.22,1.22,1.2,1.2,864000
1/13/1970 16:00:00,1.2,1.22,1.2,1.21,849600
1/14/1970 16:00:00,1.21,1.23,1.21,1.23,619200
1/15/1970 16:00:00,1.23,1.23,1.23,1.23,1209600
1/16/1970 16:00:00,1.23,1.23,1.23,1.23,734400
1/19/1970 16:00:00,1.23,1.23,1.21,1.21,1180800
1/20/1970 16:00:00,1.21,1.21,1.19,1.21,763200
1/21/1970 16:00:00,1.21,1.22,1.21,1.22,878400
1/22/1970 16:00:00,1.22,1.22,1.21,1.22,360000
1/23/1970 16:00:00,1.22,1.23,1.21,1.22,979200
1/26/1970 16:00:00,1.22,1.22,1.21,1.22,979200
1/27/1970 16:00:00,1.21,1.21,1.2,1.2,532800
1/28/1970 16:00:00,1.19,1.19,1.14,1.14,1497600
1/29/1970 16:00:00,1.13,1.13,1.07,1.11,3585600
1/30/1970 16:00:00,1.1,1.1,1.08,1.1,2808000
2/2/1970 16:00:00,1.11,1.15,1.11,1.15,1612800
2/3/1970 16:00:00,1.15,1.2,1.15,1.15,2692800
2/4/1970 16:00:00,1.13,1.13,1.08,1.1,2793600
2/5/1970 16:00:00,1.1,1.15,1.09,1.15,1886400
2/6/1970 16:00:00,1.14,1.14,1.13,1.13,705600
2/9/1970 16:00:00,1.16,1.19,1.16,1.18,1684800
2/10/1970 16:00:00,1.2,1.22,1.2,1.2,2505600
2/11/1970 16:00:00,1.2,1.2,1.19,1.19,2232000
2/12/1970 16:00:00,1.19,1.19,1.14,1.15,3369600
2/13/1970 16:00:00,1.15,1.15,1.11,1.13,1540800
2/16/1970 16:00:00,1.13,1.13,1.12,1.12,820800
2/17/1970 16:00:00,1.12,1.12,1.09,1.1,1915200
2/18/1970 16:00:00,1.1,1.11,1.1,1.11,878400
2/19/1970 16:00:00,1.11,1.11,1.1,1.1,576000
2/20/1970 16:00:00,1.1,1.1,1.08,1.08,1396800
2/24/1970 16:00:00,1.08,1.09,1.05,1.06,3744000
2/25/1970 16:00:00,1.06,1.1,1.05,1.1,2822400
2/26/1970 16:00:00,1.09,1.09,1.06,1.08,1353600
2/27/1970 16:00:00,1.08,1.11,1.08,1.11,1627200
3/2/1970 16:00:00,1.11,1.12,1.1,1.1,1051200
3/3/1970 16:00:00,1.1,1.1,1.08,1.1,1468800
3/4/1970 16:00:00,1.1,1.12,1.1,1.11,734400
3/5/1970 16:00:00,1.11,1.11,1.1,1.11,892800
3/6/1970 16:00:00,1.11,1.11,1.09,1.09,907200
3/9/1970 16:00:00,1.09,1.09,1.08,1.09,273600
3/10/1970 16:00:00,1.08,1.08,1.07,1.08,1353600
3/11/1970 16:00:00,1.08,1.09,1.07,1.09,432000
3/12/1970 16:00:00,1.09,1.09,1.09,1.09,388800
3/13/1970 16:00:00,1.08,1.08,1.08,1.08,1339200
3/16/1970 16:00:00,1.08,1.08,1.06,1.06,806400
3/17/1970 16:00:00,1.06,1.06,1.05,1.05,1267200
3/18/1970 16:00:00,1.06,1.06,1.06,1.06,748800
3/19/1970 16:00:00,1.07,1.07,1.07,1.07,1123200
3/20/1970 16:00:00,1.07,1.07,1.06,1.07,518400
3/23/1970 16:00:00,1.07,1.07,1.06,1.06,216000
3/24/1970 16:00:00,1.06,1.06,1.04,1.05,1670400
3/25/1970 16:00:00,1.06,1.1,1.06,1.09,2275200
3/26/1970 16:00:00,1.09,1.09,1.08,1.09,936000
3/30/1970 16:00:00,1.09,1.09,1.08,1.08,1368000
3/31/1970 16:00:00,1.08,1.08,1.07,1.07,676800
4/1/1970 16:00:00,1.07,1.07,1.06,1.07,820800
4/2/1970 16:00:00,1.06,1.06,1.05,1.05,792000
4/3/1970 16:00:00,1.05,1.05,1.05,1.05,1008000
4/6/1970 16:00:00,1.05,1.06,1.02,1.02,2275200
4/7/1970 16:00:00,1.02,1.02,0.99,0.99,1526400
