Date,Open,High,Low,Close,Volume
6/1/1972 16:00:00,7.92,7.92,7.92,7.92,0
6/2/1972 16:00:00,7.92,7.92,7.92,7.92,0
6/5/1972 16:00:00,7.9,7.9,7.9,7.9,0
6/6/1972 16:00:00,7.88,7.88,7.88,7.88,0
6/7/1972 16:00:00,7.8,7.8,7.8,7.8,0
6/8/1972 16:00:00,7.9,7.9,7.9,7.9,0
6/9/1972 16:00:00,7.8,7.8,7.8,7.8,0
6/12/1972 16:00:00,7.73,7.73,7.73,7.73,0
6/13/1972 16:00:00,7.68,7.68,7.68,7.68,0
6/14/1972 16:00:00,7.63,7.63,7.63,7.63,0
6/15/1972 16:00:00,7.73,7.73,7.73,7.73,0
6/16/1972 16:00:00,7.66,7.66,7.66,7.66,0
6/19/1972 16:00:00,7.44,7.44,7.44,7.44,0
6/20/1972 16:00:00,7.44,7.44,7.44,7.44,0
6/21/1972 16:00:00,7.47,7.47,7.47,7.47,0
6/22/1972 16:00:00,7.51,7.51,7.51,7.51,0
6/23/1972 16:00:00,7.54,7.54,7.54,7.54,0
6/26/1972 16:00:00,7.4,7.4,7.4,7.4,0
6/27/1972 16:00:00,7.38,7.38,7.38,7.38,0
6/28/1972 16:00:00,7.38,7.38,7.38,7.38,0
6/29/1972 16:00:00,7.27,7.27,7.27,7.27,0
6/30/1972 16:00:00,7.33,7.33,7.33,7.33,0
7/3/1972 16:00:00,7.31,7.31,7.31,7.31,0
7/4/1972 16:00:00,7.31,7.31,7.31,7.31,0
7/5/1972 16:00:00,7.33,7.33,7.33,7.33,0
7/6/1972 16:00:00,7.38,7.38,7.38,7.38,0
7/7/1972 16:00:00,7.36,7.36,7.36,7.36,0
7/10/1972 16:00:00,7.33,7.33,7.33,7.33,0
7/11/1972 16:00:00,7.31,7.31,7.31,7.31,0
7/12/1972 16:00:00,7.33,7.33,7.33,7.33,0
7/13/1972 16:00:00,7.33,7.33,7.33,7.33,0
7/14/1972 16:00:00,7.31,7.31,7.31,7.31,0
7/17/1972 16:00:00,7.27,7.27,7.27,7.27,0
7/18/1972 16:00:00,7.27,7.27,7.27,7.27,0
7/19/1972 16:00:00,7.31,7.31,7.31,7.31,0
7/20/1972 16:00:00,7.36,7.36,7.36,7.36,0
7/21/1972 16:00:00,7.44,7.44,7.44,7.44,0
7/24/1972 16:00:00,7.36,7.36,7.36,7.36,0
7/25/1972 16:00:00,7.33,7.33,7.33,7.33,0
7/26/1972 16:00:00,7.33,7.33,7.33,7.33,0
7/27/1972 16:00:00,7.23,7.23,7.23,7.23,0
7/28/1972 16:00:00,7.21,7.21,7.21,7.21,0
7/31/1972 16:00:00,7.11,7.11,7.11,7.11,0
8/1/1972 16:00:00,7.21,7.21,7.21,7.21,0
8/2/1972 16:00:00,7.11,7.11,7.11,7.11,0
8/3/1972 16:00:00,7.07,7.07,7.07,7.07,0
8/4/1972 16:00:00,7.21,7.21,7.21,7.21,0
8/7/1972 16:00:00,7.25,7.25,7.25,7.25,0
8/8/1972 16:00:00,7.27,7.27,7.27,7.27,0
8/9/1972 16:00:00,7.25,7.25,7.25,7.25,0
8/10/1972 16:00:00,7.21,7.21,7.21,7.21,0
8/11/1972 16:00:00,7.21,7.21,7.21,7.21,0
8/14/1972 16:00:00,7.23,7.23,7.23,7.23,0
8/15/1972 16:00:00,7.25,7.25,7.25,7.25,0
8/16/1972 16:00:00,7.23,7.23,7.23,7.23,0
8/17/1972 16:00:00,7.46,7.46,7.46,7.46,0
8/18/1972 16:00:00,7.51,7.51,7.51,7.51,0
8/21/1972 16:00:00,7.73,7.73,7.73,7.73,0
8/22/1972 16:00:00,7.73,7.73,7.73,7.73,0
8/23/1972 16:00:00,7.86,7.86,7.86,7.86,0
8/24/1972 16:00:00,7.9,7.9,7.9,7.9,0
8/25/1972 16:00:00,8.11,8.11,8.11,8.11,0
8/28/1972 16:00:00,8.06,8.06,8.06,8.06,0
8/29/1972 16:00:00,8.02,8.02,8.02,8.02,0
8/30/1972 16:00:00,8.21,8.21,8.21,8.21,0
8/31/1972 16:00:00,8.21,8.21,8.21,8.21,0
9/1/1972 16:00:00,8.25,8.25,8.25,8.25,0
9/4/1972 16:00:00,8.25,8.25,8.25,8.25,0
9/5/1972 16:00:00,8.23,8.23,8.23,8.23,0
9/6/1972 16:00:00,8.21,8.21,8.21,8.21,0
9/7/1972 16:00:00,8.21,8.21,8.21,8.21,0
9/8/1972 16:00:00,8.06,8.06,8.06,8.06,0
9/11/1972 16:00:00,7.94,7.94,7.94,7.94,0
9/12/1972 16:00:00,7.79,7.79,7.79,7.79,0
9/13/1972 16:00:00,7.83,7.83,7.83,7.83,0
9/14/1972 16:00:00,7.77,7.77,7.77,7.77,0
9/15/1972 16:00:00,7.63,7.63,7.63,7.63,0
9/18/1972 16:00:00,7.63,7.63,7.63,7.63,0
9/19/1972 16:00:00,7.54,7.54,7.54,7.54,0
9/20/1972 16:00:00,7.57,7.57,7.57,7.57,0
9/21/1972 16:00:00,7.52,7.52,7.52,7.52,0
9/22/1972 16:00:00,7.54,7.54,7.54,7.54,0
9/25/1972 16:00:00,7.57,7.57,7.57,7.57,0
9/26/1972 16:00:00,7.69,7.69,7.69,7.69,0
9/27/1972 16:00:00,7.66,7.66,7.66,7.66,0
9/28/1972 16:00:00,7.51,7.51,7.51,7.51,0
9/29/1972 16:00:00,7.59,7.59,7.59,7.59,0
10/2/1972 16:00:00,7.59,7.59,7.59,7.59,0
10/3/1972 16:00:00,7.57,7.57,7.57,7.57,0
10/4/1972 16:00:00,7.68,7.68,7.68,7.68,0
10/5/1972 16:00:00,7.69,7.69,7.69,7.69,0
10/6/1972 16:00:00,7.9,7.9,7.9,7.9,0
10/9/1972 16:00:00,7.97,7.97,7.97,7.97,0
10/10/1972 16:00:00,8.01,8.01,8.01,8.01,0
10/11/1972 16:00:00,7.94,7.94,7.94,7.94,0
10/12/1972 16:00:00,7.88,7.88,7.88,7.88,0
10/13/1972 16:00:00,7.77,7.77,7.77,7.77,0
10/16/1972 16:00:00,7.77,7.77,7.77,7.77,0
10/17/1972 16:00:00,7.79,7.79,7.79,7.79,0
10/18/1972 16:00:00,7.75,7.75,7.75,7.75,0
10/19/1972 16:00:00,7.75,7.75,7.75,7.75,0
10/20/1972 16:00:00,7.75,7.75,7.75,7.75,0
10/23/1972 16:00:00,7.85,7.85,7.85,7.85,0
10/24/1972 16:00:00,7.8,7.8,7.8,7.8,0
10/25/1972 16:00:00,7.73,7.73,7.73,7.73,0
10/26/1972 16:00:00,7.79,7.79,7.79,7.79,0
10/27/1972 16:00:00,7.66,7.66,7.66,7.66,0
10/30/1972 16:00:00,7.66,7.66,7.66,7.66,0
10/31/1972 16:00:00,7.77,7.77,7.77,7.77,0
11/1/1972 16:00:00,7.92,7.92,7.92,7.92,0
11/2/1972 16:00:00,7.96,7.96,7.96,7.96,0
11/3/1972 16:00:00,7.85,7.85,7.85,7.85,0
11/6/1972 16:00:00,7.8,7.8,7.8,7.8,0
11/7/1972 16:00:00,7.8,7.8,7.8,7.8,0
11/8/1972 16:00:00,7.69,7.69,7.69,7.69,0
11/9/1972 16:00:00,7.64,7.64,7.64,7.64,0
11/10/1972 16:00:00,7.66,7.66,7.66,7.66,0
11/13/1972 16:00:00,7.73,7.73,7.73,7.73,0
11/14/1972 16:00:00,7.8,7.8,7.8,7.8,0
11/15/1972 16:00:00,7.77,7.77,7.77,7.77,0
11/16/1972 16:00:00,7.83,7.83,7.83,7.83,0
11/17/1972 16:00:00,7.94,7.94,7.94,7.94,0
11/20/1972 16:00:00,7.86,7.86,7.86,7.86,0
11/21/1972 16:00:00,7.86,7.86,7.86,7.86,0
11/22/1972 16:00:00,7.94,7.94,7.94,7.94,0
11/23/1972 16:00:00,7.94,7.94,7.94,7.94,0
11/24/1972 16:00:00,7.94,7.94,7.94,7.94,0
11/27/1972 16:00:00,7.99,7.99,7.99,7.99,0
11/28/1972 16:00:00,7.99,7.99,7.99,7.99,0
11/29/1972 16:00:00,7.88,7.88,7.88,7.88,0
11/30/1972 16:00:00,7.92,7.92,7.92,7.92,0
12/1/1972 16:00:00,7.92,7.92,7.92,7.92,0
12/4/1972 16:00:00,7.69,7.69,7.69,7.69,0
12/5/1972 16:00:00,7.73,7.73,7.73,7.73,0
12/6/1972 16:00:00,7.71,7.71,7.71,7.71,0
12/7/1972 16:00:00,7.8,7.8,7.8,7.8,0
12/8/1972 16:00:00,7.8,7.8,7.8,7.8,0
12/11/1972 16:00:00,7.69,7.69,7.69,7.69,0
12/12/1972 16:00:00,7.63,7.63,7.63,7.63,0
12/13/1972 16:00:00,7.52,7.52,7.52,7.52,0
12/14/1972 16:00:00,7.49,7.49,7.49,7.49,0
12/15/1972 16:00:00,7.63,7.63,7.63,7.63,0
12/18/1972 16:00:00,7.63,7.63,7.63,7.63,0
12/19/1972 16:00:00,7.63,7.63,7.63,7.63,0
12/20/1972 16:00:00,7.38,7.38,7.38,7.38,0
12/21/1972 16:00:00,7.35,7.35,7.35,7.35,0
12/22/1972 16:00:00,7.51,7.51,7.51,7.51,0
12/25/1972 16:00:00,7.51,7.51,7.51,7.51,0
12/26/1972 16:00:00,7.61,7.61,7.61,7.61,0
12/27/1972 16:00:00,7.63,7.63,7.63,7.63,0
12/29/1972 16:00:00,7.75,7.75,7.75,7.75,0
1/1/1973 16:00:00,7.75,7.75,7.75,7.75,0
1/2/1973 16:00:00,7.96,7.96,7.96,7.96,0
1/3/1973 16:00:00,7.94,7.94,7.94,7.94,0
1/4/1973 16:00:00,7.94,7.94,7.94,7.94,0
1/5/1973 16:00:00,7.92,7.92,7.92,7.92,0
1/8/1973 16:00:00,7.94,7.94,7.94,7.94,0
1/9/1973 16:00:00,7.88,7.88,7.88,7.88,0
1/10/1973 16:00:00,7.85,7.85,7.85,7.85,0
1/11/1973 16:00:00,7.8,7.8,7.8,7.8,0
1/12/1973 16:00:00,7.73,7.73,7.73,7.73,0
1/15/1973 16:00:00,7.75,7.75,7.75,7.75,0
1/16/1973 16:00:00,7.73,7.73,7.73,7.73,0
1/17/1973 16:00:00,7.66,7.66,7.66,7.66,0
1/18/1973 16:00:00,7.69,7.69,7.69,7.69,0
1/19/1973 16:00:00,7.75,7.75,7.75,7.75,0
1/22/1973 16:00:00,7.54,7.54,7.54,7.54,0
1/23/1973 16:00:00,7.51,7.51,7.51,7.51,0
1/24/1973 16:00:00,7.44,7.44,7.44,7.44,0
1/26/1973 16:00:00,7.4,7.4,7.4,7.4,0
1/29/1973 16:00:00,7.31,7.31,7.31,7.31,0
1/30/1973 16:00:00,7.29,7.29,7.29,7.29,0
1/31/1973 16:00:00,7.36,7.36,7.36,7.36,0
2/1/1973 16:00:00,7.31,7.31,7.31,7.31,0
2/2/1973 16:00:00,7.27,7.27,7.27,7.27,0
2/5/1973 16:00:00,7.21,7.21,7.21,7.21,0
2/6/1973 16:00:00,7.18,7.18,7.18,7.18,0
2/7/1973 16:00:00,7.11,7.11,7.11,7.11,0
2/8/1973 16:00:00,7.07,7.07,7.07,7.07,0
2/9/1973 16:00:00,7.05,7.05,7.05,7.05,0
2/12/1973 16:00:00,7.09,7.09,7.09,7.09,0
2/13/1973 16:00:00,7.14,7.14,7.14,7.14,0
2/14/1973 16:00:00,7.11,7.11,7.11,7.11,0
2/15/1973 16:00:00,7.07,7.07,7.07,7.07,0
2/16/1973 16:00:00,7.14,7.14,7.14,7.14,0
2/19/1973 16:00:00,7.14,7.14,7.14,7.14,0
2/20/1973 16:00:00,7.21,7.21,7.21,7.21,0
2/21/1973 16:00:00,7.19,7.19,7.19,7.19,11300
2/22/1973 16:00:00,7.18,7.18,7.18,7.18,8700
2/23/1973 16:00:00,7.21,7.21,7.21,7.21,4100
2/26/1973 16:00:00,7.35,7.35,7.35,7.35,21100
2/27/1973 16:00:00,7.44,7.44,7.44,7.44,15000
2/28/1973 16:00:00,7.49,7.49,7.49,7.49,82700
3/1/1973 16:00:00,7.52,7.52,7.52,7.52,42600
3/2/1973 16:00:00,7.47,7.47,7.47,7.47,13800
3/5/1973 16:00:00,7.54,7.54,7.54,7.54,7200
3/6/1973 16:00:00,7.63,7.63,7.63,7.63,5200
3/7/1973 16:00:00,7.68,7.68,7.68,7.68,14200
3/8/1973 16:00:00,7.77,7.77,7.77,7.77,25200
3/9/1973 16:00:00,7.73,7.73,7.73,7.73,9000
3/12/1973 16:00:00,7.79,7.79,7.79,7.79,13000
3/13/1973 16:00:00,7.8,7.8,7.8,7.8,15700
3/14/1973 16:00:00,7.66,7.66,7.66,7.66,7100
3/15/1973 16:00:00,7.54,7.54,7.54,7.54,16100
3/16/1973 16:00:00,7.49,7.49,7.49,7.49,25500
3/19/1973 16:00:00,7.25,7.25,7.25,7.25,8700
3/20/1973 16:00:00,7.19,7.19,7.19,7.19,7600
3/21/1973 16:00:00,7.09,7.09,7.09,7.09,11400
3/22/1973 16:00:00,6.83,6.83,6.83,6.83,16600
3/23/1973 16:00:00,7.11,7.11,7.11,7.11,21000
3/26/1973 16:00:00,6.94,6.94,6.94,6.94,20600
3/27/1973 16:00:00,6.97,6.97,6.97,6.97,6200
3/28/1973 16:00:00,7.01,7.01,7.01,7.01,11800
3/29/1973 16:00:00,7.07,7.07,7.07,7.07,12000
3/30/1973 16:00:00,7.13,7.13,7.13,7.13,9800
4/2/1973 16:00:00,7.11,7.11,7.11,7.11,2000
4/3/1973 16:00:00,6.96,6.96,6.96,6.96,10600
4/4/1973 16:00:00,6.96,6.96,6.96,6.96,5400
4/5/1973 16:00:00,6.97,6.97,6.97,6.97,6300
4/6/1973 16:00:00,7.02,7.02,7.02,7.02,12300
4/9/1973 16:00:00,7.05,7.05,7.05,7.05,7100
4/10/1973 16:00:00,6.96,6.96,6.96,6.96,7700
4/11/1973 16:00:00,6.83,6.83,6.83,6.83,37900
4/12/1973 16:00:00,6.86,6.86,6.86,6.86,7300
4/13/1973 16:00:00,6.83,6.83,6.83,6.83,7000
4/16/1973 16:00:00,6.74,6.74,6.74,6.74,5100
4/17/1973 16:00:00,6.66,6.66,6.66,6.66,8800
4/18/1973 16:00:00,6.66,6.66,6.66,6.66,14900
4/19/1973 16:00:00,6.76,6.76,6.76,6.76,20400
4/23/1973 16:00:00,6.62,6.62,6.62,6.62,11800
4/24/1973 16:00:00,6.64,6.64,6.64,6.64,9300
4/25/1973 16:00:00,6.68,6.68,6.68,6.68,8800
4/26/1973 16:00:00,6.76,6.76,6.76,6.76,6900
4/27/1973 16:00:00,6.73,6.73,6.73,6.73,7800
4/30/1973 16:00:00,6.83,6.83,6.83,6.83,5600
5/1/1973 16:00:00,6.78,6.78,6.78,6.78,21500
5/2/1973 16:00:00,6.69,6.69,6.69,6.69,8400
5/3/1973 16:00:00,6.83,6.85,6.66,6.83,6300
5/4/1973 16:00:00,6.81,6.88,6.71,6.81,15500
5/7/1973 16:00:00,6.74,6.85,6.64,6.74,6600
5/8/1973 16:00:00,6.66,6.76,6.62,6.66,19200
5/9/1973 16:00:00,6.52,6.71,6.52,6.52,7600
5/10/1973 16:00:00,6.58,6.71,6.47,6.58,11800
5/11/1973 16:00:00,6.62,6.68,6.58,6.62,13000
5/14/1973 16:00:00,6.52,6.57,6.49,6.52,9000
5/15/1973 16:00:00,6.51,6.52,6.47,6.51,24300
5/16/1973 16:00:00,6.58,6.58,6.51,6.58,6700
5/17/1973 16:00:00,6.47,6.6,6.43,6.47,6900
5/18/1973 16:00:00,6.31,6.43,6.18,6.31,9800
5/21/1973 16:00:00,6.16,6.18,6.03,6.16,16500
5/22/1973 16:00:00,6.21,6.35,6.16,6.21,9600
5/23/1973 16:00:00,6.36,6.41,6.21,6.36,9500
5/24/1973 16:00:00,6.66,6.66,6.36,6.66,18600
5/25/1973 16:00:00,6.58,6.66,6.57,6.58,8900
5/29/1973 16:00:00,6.64,6.64,6.55,6.64,10000
5/30/1973 16:00:00,6.57,6.66,6.51,6.57,10000
5/31/1973 16:00:00,6.49,6.6,6.45,6.49,3900
6/1/1973 16:00:00,6.51,6.52,6.49,6.51,3600
6/4/1973 16:00:00,6.47,6.52,6.47,6.47,5900
6/5/1973 16:00:00,6.43,6.55,6.43,6.43,12600
6/6/1973 16:00:00,6.38,6.47,6.33,6.38,13900
6/7/1973 16:00:00,6.43,6.49,6.36,6.43,5400
6/8/1973 16:00:00,6.45,6.51,6.4,6.45,12800
6/11/1973 16:00:00,6.38,6.43,6.33,6.38,5800
6/12/1973 16:00:00,6.41,6.41,6.33,6.41,7600
6/13/1973 16:00:00,6.43,6.49,6.36,6.43,6100
6/14/1973 16:00:00,6.35,6.49,6.35,6.35,2700
6/15/1973 16:00:00,6.29,6.36,6.23,6.29,6700
6/18/1973 16:00:00,6.18,6.29,6.18,6.18,9500
6/19/1973 16:00:00,6.18,6.21,6.16,6.18,11100
6/20/1973 16:00:00,6.21,6.21,6.12,6.21,6500
6/21/1973 16:00:00,6.33,6.36,6.24,6.33,19900
6/22/1973 16:00:00,6.24,6.43,6.23,6.24,8600
6/25/1973 16:00:00,6.21,6.33,6.18,6.21,4200
6/26/1973 16:00:00,6.31,6.33,6.19,6.31,5000
6/27/1973 16:00:00,6.26,6.33,6.21,6.26,3400
6/28/1973 16:00:00,6.33,6.36,6.26,6.33,4400
6/29/1973 16:00:00,6.41,6.43,6.33,6.41,3000
7/2/1973 16:00:00,6.41,6.49,6.41,6.41,10400
7/3/1973 16:00:00,6.47,6.55,6.45,6.47,6100
7/5/1973 16:00:00,6.4,6.52,6.36,6.4,5600
7/6/1973 16:00:00,6.6,6.71,6.41,6.6,5900
7/9/1973 16:00:00,6.62,6.66,6.58,6.62,5500
7/10/1973 16:00:00,6.58,6.66,6.55,6.58,6400
7/11/1973 16:00:00,6.62,6.66,6.57,6.62,12200
7/12/1973 16:00:00,6.66,6.66,6.57,6.66,8600
7/13/1973 16:00:00,6.64,6.66,6.58,6.64,12400
7/16/1973 16:00:00,6.66,6.66,6.6,6.66,7200
7/17/1973 16:00:00,6.6,6.66,6.6,6.6,4800
7/18/1973 16:00:00,6.73,6.73,6.52,6.73,6900
7/19/1973 16:00:00,6.74,6.81,6.73,6.74,13800
7/20/1973 16:00:00,6.81,6.91,6.81,6.81,11000
7/23/1973 16:00:00,6.69,6.83,6.62,6.69,12200
7/24/1973 16:00:00,6.78,6.78,6.58,6.78,5800
7/25/1973 16:00:00,6.78,6.83,6.66,6.78,11400
7/26/1973 16:00:00,6.76,6.88,6.74,6.76,8500
7/27/1973 16:00:00,6.78,6.86,6.73,6.78,3400
7/30/1973 16:00:00,6.81,6.91,6.81,6.81,14000
7/31/1973 16:00:00,6.91,6.94,6.83,6.91,8500
8/1/1973 16:00:00,6.76,6.94,6.71,6.76,25500
8/2/1973 16:00:00,6.74,6.81,6.66,6.74,5300
8/3/1973 16:00:00,6.73,6.78,6.62,6.73,3900
8/6/1973 16:00:00,6.55,6.66,6.51,6.55,8500
8/7/1973 16:00:00,6.47,6.58,6.36,6.47,8700
8/8/1973 16:00:00,6.47,6.51,6.4,6.47,11500
8/9/1973 16:00:00,6.38,6.49,6.38,6.38,2000
8/10/1973 16:00:00,6.35,6.4,6.26,6.35,5300
8/13/1973 16:00:00,6.29,6.45,6.24,6.29,4400
8/14/1973 16:00:00,6.24,6.29,6.19,6.24,5300
8/15/1973 16:00:00,6.23,6.33,6.18,6.23,10800
8/16/1973 16:00:00,6.14,6.26,6.14,6.14,3800
8/17/1973 16:00:00,6.21,6.21,6.07,6.21,4900
8/20/1973 16:00:00,6.21,6.26,6.16,6.21,2800
8/21/1973 16:00:00,6.07,6.24,6.07,6.07,6900
8/22/1973 16:00:00,6.05,6.05,5.91,6.05,6600
8/23/1973 16:00:00,6.19,6.24,5.99,6.19,6500
8/24/1973 16:00:00,6.1,6.19,6.03,6.1,3800
8/27/1973 16:00:00,6.08,6.14,6.07,6.08,2800
8/28/1973 16:00:00,6.14,6.18,6.07,6.14,6200
8/29/1973 16:00:00,6.1,6.24,6.07,6.1,7600
8/30/1973 16:00:00,6.05,6.1,6.01,6.05,15200
8/31/1973 16:00:00,6.1,6.12,6.08,6.1,8100
9/4/1973 16:00:00,6.35,6.35,6.14,6.35,13700
9/5/1973 16:00:00,6.36,6.4,6.33,6.36,7900
9/6/1973 16:00:00,6.36,6.4,6.33,6.36,5000
9/7/1973 16:00:00,6.58,6.62,6.33,6.58,13900
9/10/1973 16:00:00,6.49,6.52,6.45,6.49,3600
9/11/1973 16:00:00,6.47,6.49,6.43,6.47,13000
9/12/1973 16:00:00,6.43,6.57,6.43,6.43,13200
9/13/1973 16:00:00,6.51,6.51,6.38,6.51,6600
