Date,Open,High,Low,Close,Volume
6/1/1972 16:00:00,4.05,4.05,4.05,4.05,0
6/2/1972 16:00:00,4.09,4.09,4.09,4.09,0
6/5/1972 16:00:00,4.04,4.04,4.04,4.04,0
6/6/1972 16:00:00,4,4,4,4,0
6/7/1972 16:00:00,4.05,4.05,4.05,4.05,0
6/8/1972 16:00:00,4,4,4,4,0
6/9/1972 16:00:00,4.05,4.05,4.05,4.05,0
6/12/1972 16:00:00,4.04,4.04,4.04,4.04,0
6/13/1972 16:00:00,4.08,4.08,4.08,4.08,0
6/14/1972 16:00:00,4.16,4.16,4.16,4.16,0
6/15/1972 16:00:00,4.19,4.19,4.19,4.19,0
6/16/1972 16:00:00,4.14,4.14,4.14,4.14,0
6/19/1972 16:00:00,4.11,4.11,4.11,4.11,0
6/20/1972 16:00:00,4.16,4.16,4.16,4.16,0
6/21/1972 16:00:00,4.13,4.13,4.13,4.13,0
6/22/1972 16:00:00,4.16,4.16,4.16,4.16,0
6/23/1972 16:00:00,4.17,4.17,4.17,4.17,0
6/26/1972 16:00:00,4.22,4.22,4.22,4.22,0
6/27/1972 16:00:00,4.2,4.2,4.2,4.2,0
6/28/1972 16:00:00,4.13,4.13,4.13,4.13,0
6/29/1972 16:00:00,4.1,4.1,4.1,4.1,0
6/30/1972 16:00:00,4.16,4.16,4.16,4.16,0
7/3/1972 16:00:00,4.2,4.2,4.2,4.2,0
7/4/1972 16:00:00,4.2,4.2,4.2,4.2,0
7/5/1972 16:00:00,4.25,4.25,4.25,4.25,0
7/6/1972 16:00:00,4.33,4.33,4.33,4.33,0
7/7/1972 16:00:00,4.43,4.43,4.43,4.43,0
7/10/1972 16:00:00,4.38,4.38,4.38,4.38,0
7/11/1972 16:00:00,4.4,4.4,4.4,4.4,0
7/12/1972 16:00:00,4.44,4.44,4.44,4.44,0
7/13/1972 16:00:00,4.44,4.44,4.44,4.44,0
7/14/1972 16:00:00,4.52,4.52,4.52,4.52,0
7/17/1972 16:00:00,4.44,4.44,4.44,4.44,0
7/18/1972 16:00:00,4.41,4.41,4.41,4.41,0
7/19/1972 16:00:00,4.45,4.45,4.45,4.45,0
7/20/1972 16:00:00,4.5,4.5,4.5,4.5,0
7/21/1972 16:00:00,4.57,4.57,4.57,4.57,0
7/24/1972 16:00:00,4.65,4.65,4.65,4.65,0
7/25/1972 16:00:00,4.61,4.61,4.61,4.61,0
7/26/1972 16:00:00,4.73,4.73,4.73,4.73,0
7/27/1972 16:00:00,4.73,4.73,4.73,4.73,0
7/28/1972 16:00:00,4.72,4.72,4.72,4.72,0
7/31/1972 16:00:00,4.66,4.66,4.66,4.66,0
8/1/1972 16:00:00,4.72,4.72,4.72,4.72,0
8/2/1972 16:00:00,4.7,4.7,4.7,4.7,0
8/3/1972 16:00:00,4.72,4.72,4.72,4.72,0
8/4/1972 16:00:00,4.69,4.69,4.69,4.69,0
8/7/1972 16:00:00,4.69,4.69,4.69,4.69,0
8/8/1972 16:00:00,4.7,4.7,4.7,4.7,0
8/9/1972 16:00:00,4.69,4.69,4.69,4.69,0
8/10/1972 16:00:00,4.71,4.71,4.71,4.71,0
8/11/1972 16:00:00,4.72,4.72,4.72,4.72,0
8/14/1972 16:00:00,4.8,4.8,4.8,4.8,0
8/15/1972 16:00:00,4.73,4.73,4.73,4.73,0
8/16/1972 16:00:00,4.66,4.66,4.66,4.66,0
8/17/1972 16:00:00,4.65,4.65,4.65,4.65,0
8/18/1972 16:00:00,4.73,4.73,4.73,4.73,0
8/21/1972 16:00:00,4.83,4.83,4.83,4.83,0
8/22/1972 16:00:00,4.85,4.85,4.85,4.85,0
8/23/1972 16:00:00,4.81,4.81,4.81,4.81,0
8/24/1972 16:00:00,4.76,4.76,4.76,4.76,0
8/25/1972 16:00:00,4.66,4.66,4.66,4.66,0
8/28/1972 16:00:00,4.65,4.65,4.65,4.65,0
8/29/1972 16:00:00,4.69,4.69,4.69,4.69,0
8/30/1972 16:00:00,4.67,4.67,4.67,4.67,0
8/31/1972 16:00:00,4.67,4.67,4.67,4.67,0
9/1/1972 16:00:00,4.69,4.69,4.69,4.69,0
9/4/1972 16:00:00,4.69,4.69,4.69,4.69,0
9/5/1972 16:00:00,4.66,4.66,4.66,4.66,0
9/6/1972 16:00:00,4.63,4.63,4.63,4.63,0
9/7/1972 16:00:00,4.64,4.64,4.64,4.64,0
9/8/1972 16:00:00,4.59,4.59,4.59,4.59,0
9/11/1972 16:00:00,4.52,4.52,4.52,4.52,0
9/12/1972 16:00:00,4.45,4.45,4.45,4.45,0
9/13/1972 16:00:00,4.42,4.42,4.42,4.42,0
9/14/1972 16:00:00,4.53,4.53,4.53,4.53,0
9/15/1972 16:00:00,4.51,4.51,4.51,4.51,0
9/18/1972 16:00:00,4.49,4.49,4.49,4.49,0
9/19/1972 16:00:00,4.55,4.55,4.55,4.55,0
