Date,Open,High,Low,Close,Volume
6/1/1972 16:00:00,1.94,1.94,1.94,1.94,0
6/2/1972 16:00:00,1.91,1.91,1.91,1.91,0
6/5/1972 16:00:00,1.9,1.9,1.9,1.9,0
6/6/1972 16:00:00,1.87,1.87,1.87,1.87,0
6/7/1972 16:00:00,1.88,1.88,1.88,1.88,0
6/8/1972 16:00:00,1.89,1.89,1.89,1.89,0
6/9/1972 16:00:00,1.88,1.88,1.88,1.88,0
6/12/1972 16:00:00,1.86,1.86,1.86,1.86,0
6/13/1972 16:00:00,1.85,1.85,1.85,1.85,0
6/14/1972 16:00:00,1.86,1.86,1.86,1.86,0
6/15/1972 16:00:00,1.88,1.88,1.88,1.88,0
6/16/1972 16:00:00,1.87,1.87,1.87,1.87,0
6/19/1972 16:00:00,1.86,1.86,1.86,1.86,0
6/20/1972 16:00:00,1.9,1.9,1.9,1.9,0
6/21/1972 16:00:00,1.94,1.94,1.94,1.94,0
6/22/1972 16:00:00,1.93,1.93,1.93,1.93,0
6/23/1972 16:00:00,1.94,1.94,1.94,1.94,0
6/26/1972 16:00:00,1.96,1.96,1.96,1.96,0
6/27/1972 16:00:00,1.97,1.97,1.97,1.97,0
6/28/1972 16:00:00,2.03,2.03,2.03,2.03,0
6/29/1972 16:00:00,2.07,2.07,2.07,2.07,0
6/30/1972 16:00:00,2.06,2.06,2.06,2.06,0
7/3/1972 16:00:00,2.05,2.05,2.05,2.05,0
7/4/1972 16:00:00,2.05,2.05,2.05,2.05,0
7/5/1972 16:00:00,2.13,2.13,2.13,2.13,0
7/6/1972 16:00:00,2.16,2.16,2.16,2.16,0
7/7/1972 16:00:00,2.2,2.2,2.2,2.2,0
7/10/1972 16:00:00,2.17,2.17,2.17,2.17,0
7/11/1972 16:00:00,2.13,2.13,2.13,2.13,0
7/12/1972 16:00:00,2.11,2.11,2.11,2.11,0
7/13/1972 16:00:00,2.05,2.05,2.05,2.05,0
7/14/1972 16:00:00,2.09,2.09,2.09,2.09,0
7/17/1972 16:00:00,2.06,2.06,2.06,2.06,0
7/18/1972 16:00:00,2.07,2.07,2.07,2.07,0
7/19/1972 16:00:00,2.05,2.05,2.05,2.05,0
7/20/1972 16:00:00,2.04,2.04,2.04,2.04,0
7/21/1972 16:00:00,2.05,2.05,2.05,2.05,0
7/24/1972 16:00:00,2.06,2.06,2.06,2.06,0
7/25/1972 16:00:00,2.09,2.09,2.09,2.09,0
7/26/1972 16:00:00,2.18,2.18,2.18,2.18,0
7/27/1972 16:00:00,2.19,2.19,2.19,2.19,0
7/28/1972 16:00:00,2.23,2.23,2.23,2.23,0
7/31/1972 16:00:00,2.24,2.24,2.24,2.24,0
8/1/1972 16:00:00,2.24,2.24,2.24,2.24,0
8/2/1972 16:00:00,2.24,2.24,2.24,2.24,0
8/3/1972 16:00:00,2.27,2.27,2.27,2.27,0
8/4/1972 16:00:00,2.31,2.31,2.31,2.31,0
8/7/1972 16:00:00,2.29,2.29,2.29,2.29,0
8/8/1972 16:00:00,2.25,2.25,2.25,2.25,0
8/9/1972 16:00:00,2.25,2.25,2.25,2.25,0
8/10/1972 16:00:00,2.23,2.23,2.23,2.23,0
8/11/1972 16:00:00,2.23,2.23,2.23,2.23,0
8/14/1972 16:00:00,2.25,2.25,2.25,2.25,0
8/15/1972 16:00:00,2.25,2.25,2.25,2.25,0
8/16/1972 16:00:00,2.23,2.23,2.23,2.23,0
8/17/1972 16:00:00,2.21,2.21,2.21,2.21,0
8/18/1972 16:00:00,2.21,2.21,2.21,2.21,0
8/21/1972 16:00:00,2.17,2.17,2.17,2.17,0
8/22/1972 16:00:00,2.16,2.16,2.16,2.16,0
8/23/1972 16:00:00,2.17,2.17,2.17,2.17,0
8/24/1972 16:00:00,2.18,2.18,2.18,2.18,0
8/25/1972 16:00:00,2.13,2.13,2.13,2.13,0
8/28/1972 16:00:00,2.06,2.06,2.06,2.06,0
8/29/1972 16:00:00,2.08,2.08,2.08,2.08,0
8/30/1972 16:00:00,2.12,2.12,2.12,2.12,0
8/31/1972 16:00:00,2.17,2.17,2.17,2.17,0
9/1/1972 16:00:00,2.16,2.16,2.16,2.16,0
9/4/1972 16:00:00,2.16,2.16,2.16,2.16,0
9/5/1972 16:00:00,2.17,2.17,2.17,2.17,0
9/6/1972 16:00:00,2.17,2.17,2.17,2.17,0
9/7/1972 16:00:00,2.18,2.18,2.18,2.18,0
9/8/1972 16:00:00,2.2,2.2,2.2,2.2,0
9/11/1972 16:00:00,2.16,2.16,2.16,2.16,0
9/12/1972 16:00:00,2.14,2.14,2.14,2.14,0
9/13/1972 16:00:00,2.15,2.15,2.15,2.15,0
9/14/1972 16:00:00,2.16,2.16,2.16,2.16,0
9/15/1972 16:00:00,2.14,2.14,2.14,2.14,0
9/18/1972 16:00:00,2.16,2.16,2.16,2.16,0
9/19/1972 16:00:00,2.15,2.15,2.15,2.15,0
9/20/1972 16:00:00,2.15,2.15,2.15,2.15,0
9/21/1972 16:00:00,2.14,2.14,2.14,2.14,0
9/22/1972 16:00:00,2.14,2.14,2.14,2.14,0
9/25/1972 16:00:00,2.12,2.12,2.12,2.12,0
9/26/1972 16:00:00,2.12,2.12,2.12,2.12,0
9/27/1972 16:00:00,2.13,2.13,2.13,2.13,0
9/28/1972 16:00:00,2.15,2.15,2.15,2.15,0
9/29/1972 16:00:00,2.17,2.17,2.17,2.17,0
10/2/1972 16:00:00,2.14,2.14,2.14,2.14,0
10/3/1972 16:00:00,2.17,2.17,2.17,2.17,0
10/4/1972 16:00:00,2.19,2.19,2.19,2.19,0
10/5/1972 16:00:00,2.13,2.13,2.13,2.13,0
10/6/1972 16:00:00,2.18,2.18,2.18,2.18,0
10/9/1972 16:00:00,2.15,2.15,2.15,2.15,0
10/10/1972 16:00:00,2.15,2.15,2.15,2.15,0
10/11/1972 16:00:00,2.14,2.14,2.14,2.14,0
10/12/1972 16:00:00,2.17,2.17,2.17,2.17,0
10/13/1972 16:00:00,2.16,2.16,2.16,2.16,0
10/16/1972 16:00:00,2.15,2.15,2.15,2.15,0
10/17/1972 16:00:00,2.15,2.15,2.15,2.15,0
10/18/1972 16:00:00,2.16,2.16,2.16,2.16,0
10/19/1972 16:00:00,2.15,2.15,2.15,2.15,0
10/20/1972 16:00:00,2.18,2.18,2.18,2.18,0
10/23/1972 16:00:00,2.17,2.17,2.17,2.17,0
10/24/1972 16:00:00,2.19,2.19,2.19,2.19,0
10/25/1972 16:00:00,2.19,2.19,2.19,2.19,0
10/26/1972 16:00:00,2.2,2.2,2.2,2.2,0
10/27/1972 16:00:00,2.19,2.19,2.19,2.19,0
10/30/1972 16:00:00,2.21,2.21,2.21,2.21,0
10/31/1972 16:00:00,2.27,2.27,2.27,2.27,0
11/1/1972 16:00:00,2.31,2.31,2.31,2.31,0
11/2/1972 16:00:00,2.35,2.35,2.35,2.35,0
11/3/1972 16:00:00,2.37,2.37,2.37,2.37,0
11/6/1972 16:00:00,2.34,2.34,2.34,2.34,0
11/7/1972 16:00:00,2.34,2.34,2.34,2.34,0
11/8/1972 16:00:00,2.33,2.33,2.33,2.33,0
11/9/1972 16:00:00,2.34,2.34,2.34,2.34,0
11/10/1972 16:00:00,2.32,2.32,2.32,2.32,0
11/13/1972 16:00:00,2.28,2.28,2.28,2.28,0
11/14/1972 16:00:00,2.27,2.27,2.27,2.27,0
11/15/1972 16:00:00,2.31,2.31,2.31,2.31,0
11/16/1972 16:00:00,2.28,2.28,2.28,2.28,0
11/17/1972 16:00:00,2.28,2.28,2.28,2.28,0
11/20/1972 16:00:00,2.27,2.27,2.27,2.27,0
11/21/1972 16:00:00,2.27,2.27,2.27,2.27,0
11/22/1972 16:00:00,2.28,2.28,2.28,2.28,0
11/23/1972 16:00:00,2.28,2.28,2.28,2.28,0
11/24/1972 16:00:00,2.28,2.28,2.28,2.28,0
11/27/1972 16:00:00,2.25,2.25,2.25,2.25,0
11/28/1972 16:00:00,2.25,2.25,2.25,2.25,0
11/29/1972 16:00:00,2.24,2.24,2.24,2.24,0
11/30/1972 16:00:00,2.25,2.25,2.25,2.25,0
12/1/1972 16:00:00,2.29,2.29,2.29,2.29,0
12/4/1972 16:00:00,2.31,2.31,2.31,2.31,0
12/5/1972 16:00:00,2.32,2.32,2.32,2.32,0
12/6/1972 16:00:00,2.34,2.34,2.34,2.34,0
12/7/1972 16:00:00,2.36,2.36,2.36,2.36,0
12/8/1972 16:00:00,2.37,2.37,2.37,2.37,0
12/11/1972 16:00:00,2.33,2.33,2.33,2.33,0
12/12/1972 16:00:00,2.34,2.34,2.34,2.34,0
12/13/1972 16:00:00,2.36,2.36,2.36,2.36,0
12/14/1972 16:00:00,2.37,2.37,2.37,2.37,0
12/15/1972 16:00:00,2.37,2.37,2.37,2.37,0
12/18/1972 16:00:00,2.37,2.37,2.37,2.37,0
12/19/1972 16:00:00,2.37,2.37,2.37,2.37,0
12/20/1972 16:00:00,2.36,2.36,2.36,2.36,0
12/21/1972 16:00:00,2.31,2.31,2.31,2.31,0
12/22/1972 16:00:00,2.33,2.33,2.33,2.33,0
12/25/1972 16:00:00,2.33,2.33,2.33,2.33,0
12/26/1972 16:00:00,2.35,2.35,2.35,2.35,0
12/27/1972 16:00:00,2.35,2.35,2.35,2.35,0
12/29/1972 16:00:00,2.36,2.36,2.36,2.36,0
1/1/1973 16:00:00,2.36,2.36,2.36,2.36,0
1/2/1973 16:00:00,2.4,2.4,2.4,2.4,0
1/3/1973 16:00:00,2.43,2.43,2.43,2.43,0
1/4/1973 16:00:00,2.44,2.44,2.44,2.44,0
1/5/1973 16:00:00,2.48,2.48,2.48,2.48,0
1/8/1973 16:00:00,2.5,2.5,2.5,2.5,0
1/9/1973 16:00:00,2.51,2.51,2.51,2.51,0
1/10/1973 16:00:00,2.56,2.56,2.56,2.56,0
1/11/1973 16:00:00,2.6,2.6,2.6,2.6,0
1/12/1973 16:00:00,2.56,2.56,2.56,2.56,0
1/15/1973 16:00:00,2.52,2.52,2.52,2.52,0
1/16/1973 16:00:00,2.51,2.51,2.51,2.51,0
1/17/1973 16:00:00,2.53,2.53,2.53,2.53,0
1/18/1973 16:00:00,2.54,2.54,2.54,2.54,0
1/19/1973 16:00:00,2.57,2.57,2.57,2.57,0
1/22/1973 16:00:00,2.59,2.59,2.59,2.59,0
1/23/1973 16:00:00,2.56,2.56,2.56,2.56,0
1/24/1973 16:00:00,2.52,2.52,2.52,2.52,0
1/26/1973 16:00:00,2.53,2.53,2.53,2.53,0
1/29/1973 16:00:00,2.48,2.48,2.48,2.48,0
1/30/1973 16:00:00,2.5,2.5,2.5,2.5,0
1/31/1973 16:00:00,2.49,2.49,2.49,2.49,0
2/1/1973 16:00:00,2.44,2.44,2.44,2.44,0
2/2/1973 16:00:00,2.39,2.39,2.39,2.39,0
2/5/1973 16:00:00,2.43,2.43,2.43,2.43,0
2/6/1973 16:00:00,2.45,2.45,2.45,2.45,0
2/7/1973 16:00:00,2.47,2.47,2.47,2.47,0
2/8/1973 16:00:00,2.46,2.46,2.46,2.46,0
2/9/1973 16:00:00,2.51,2.51,2.51,2.51,0
2/12/1973 16:00:00,2.53,2.53,2.53,2.53,0
2/13/1973 16:00:00,2.59,2.59,2.59,2.59,0
2/14/1973 16:00:00,2.56,2.56,2.56,2.56,0
2/15/1973 16:00:00,2.56,2.56,2.56,2.56,0
2/16/1973 16:00:00,2.56,2.56,2.56,2.56,0
2/19/1973 16:00:00,2.56,2.56,2.56,2.56,0
2/20/1973 16:00:00,2.59,2.59,2.59,2.59,0
2/21/1973 16:00:00,2.56,2.56,2.56,2.56,20700
2/22/1973 16:00:00,2.57,2.57,2.57,2.57,35600
2/23/1973 16:00:00,2.56,2.56,2.56,2.56,13500
2/26/1973 16:00:00,2.5,2.5,2.5,2.5,24300
2/27/1973 16:00:00,2.49,2.49,2.49,2.49,21000
2/28/1973 16:00:00,2.45,2.45,2.45,2.45,20400
3/1/1973 16:00:00,2.41,2.41,2.41,2.41,15100
