Date,Open,High,Low,Close,Volume
3/21/1986 16:00:00,2.82,2.94,2.7,2.82,1932200
3/24/1986 16:00:00,2.94,2.94,2.81,2.94,432400
3/25/1986 16:00:00,2.87,2.97,2.87,2.87,233000
3/26/1986 16:00:00,2.8,2.81,2.75,2.8,488700
3/27/1986 16:00:00,2.82,2.83,2.79,2.82,277300
3/31/1986 16:00:00,2.8,2.84,2.79,2.8,121100
4/1/1986 16:00:00,2.73,2.78,2.73,2.73,187700
4/2/1986 16:00:00,2.76,2.76,2.69,2.76,137100
4/3/1986 16:00:00,2.76,2.79,2.74,2.76,126000
4/4/1986 16:00:00,2.74,2.77,2.69,2.74,111200
4/7/1986 16:00:00,2.68,2.69,2.66,2.68,87200
4/8/1986 16:00:00,2.8,2.8,2.7,2.8,180300
4/9/1986 16:00:00,2.84,2.85,2.81,2.84,173100
4/10/1986 16:00:00,2.83,2.85,2.82,2.83,56800
4/11/1986 16:00:00,2.87,2.87,2.84,2.87,72400
4/14/1986 16:00:00,2.92,2.94,2.85,2.92,117600
4/15/1986 16:00:00,3.03,3.04,2.94,3.03,138600
4/16/1986 16:00:00,3.11,3.13,3.05,3.11,111900
4/17/1986 16:00:00,3.12,3.13,3.06,3.12,77300
4/18/1986 16:00:00,3.1,3.14,3.08,3.1,48400
4/21/1986 16:00:00,3.08,3.08,3.06,3.08,51400
4/22/1986 16:00:00,3,3.07,2.99,3,50200
4/23/1986 16:00:00,2.94,2.97,2.92,2.94,93200
4/24/1986 16:00:00,3.04,3.07,2.95,3.04,74500
4/25/1986 16:00:00,3,3.03,2.99,3,44800
4/28/1986 16:00:00,3,3.09,2.99,3,99100
4/29/1986 16:00:00,2.97,3.02,2.97,2.97,81000
4/30/1986 16:00:00,2.94,2.97,2.94,2.94,97900
5/1/1986 16:00:00,2.95,2.97,2.92,2.95,40800
5/2/1986 16:00:00,3.02,3.03,2.97,3.02,48400
5/5/1986 16:00:00,3.06,3.07,3.02,3.06,44300
5/6/1986 16:00:00,3.01,3.07,3.01,3.01,28100
5/7/1986 16:00:00,2.98,2.99,2.97,2.98,13300
5/8/1986 16:00:00,3.03,3.04,3,3.03,48800
5/9/1986 16:00:00,3.02,3.02,3,3.02,39100
5/12/1986 16:00:00,3.02,3.03,3.01,3.02,27900
5/13/1986 16:00:00,3.02,3.04,3.02,3.02,26000
5/14/1986 16:00:00,3,3.03,3,3,26400
5/15/1986 16:00:00,2.98,2.99,2.97,2.98,28400
5/16/1986 16:00:00,2.9,2.97,2.89,2.9,67100
5/19/1986 16:00:00,2.9,2.91,2.89,2.9,5700
5/20/1986 16:00:00,2.91,2.91,2.88,2.91,16900
5/21/1986 16:00:00,2.87,2.91,2.87,2.87,11800
5/22/1986 16:00:00,2.94,2.94,2.86,2.94,32800
5/23/1986 16:00:00,2.92,2.94,2.92,2.92,8100
5/27/1986 16:00:00,2.99,2.99,2.92,2.99,45000
5/28/1986 16:00:00,2.98,3.02,2.98,2.98,31300
5/29/1986 16:00:00,3.03,3.03,2.99,3.03,30400
5/30/1986 16:00:00,2.98,3.02,2.98,2.98,16900
6/2/1986 16:00:00,2.95,3,2.95,2.95,25400
6/3/1986 16:00:00,2.95,2.95,2.93,2.95,45500
6/4/1986 16:00:00,2.94,2.96,2.94,2.94,50100
6/5/1986 16:00:00,2.97,2.97,2.92,2.97,36600
6/6/1986 16:00:00,2.91,2.95,2.9,2.91,18600
6/9/1986 16:00:00,2.82,2.91,2.81,2.82,50500
6/10/1986 16:00:00,2.82,2.84,2.79,2.82,58800
6/11/1986 16:00:00,2.81,2.83,2.81,2.81,22400
6/12/1986 16:00:00,2.79,2.82,2.78,2.79,32200
6/13/1986 16:00:00,2.85,2.87,2.79,2.85,93700
6/16/1986 16:00:00,2.82,2.85,2.81,2.82,9000
6/17/1986 16:00:00,2.81,2.84,2.81,2.81,14800
6/18/1986 16:00:00,2.78,2.8,2.77,2.78,46700
6/19/1986 16:00:00,2.83,2.84,2.77,2.83,42600
6/20/1986 16:00:00,2.86,2.86,2.83,2.86,7700
6/23/1986 16:00:00,2.82,2.85,2.82,2.82,12100
6/24/1986 16:00:00,2.83,2.83,2.8,2.83,86800
6/25/1986 16:00:00,2.84,2.85,2.81,2.84,75500
6/26/1986 16:00:00,2.78,2.83,2.77,2.78,77400
6/27/1986 16:00:00,2.78,2.8,2.77,2.78,38500
6/30/1986 16:00:00,2.8,2.81,2.78,2.8,28700
7/1/1986 16:00:00,2.82,2.82,2.78,2.82,31800
7/2/1986 16:00:00,2.83,2.83,2.81,2.83,36000
