Date,Open,High,Low,Close,Volume
6/29/2012 16:00:00,23.75,24.75,22.83,24.6,10922574
7/2/2012 16:00:00,24.75,25.2,24.1,24.77,656652
7/3/2012 16:00:00,24.85,25.32,24.6,25.31,401048
7/5/2012 16:00:00,25.5,26.26,25.14,25.96,540959
7/6/2012 16:00:00,25.75,26.12,25.1,25.84,355017
7/9/2012 16:00:00,25.96,26.3,25.18,25.27,152336
7/10/2012 16:00:00,25.22,25.69,25.05,25.05,303969
7/11/2012 16:00:00,25.02,25.35,23.49,23.74,296479
7/12/2012 16:00:00,23.3,24.47,22.62,24.08,325426
7/13/2012 16:00:00,24.69,24.92,23.98,24.18,89055
7/16/2012 16:00:00,24.08,24.56,23.8,24.38,118051
7/17/2012 16:00:00,24.48,24.48,23.93,24.27,227454
7/18/2012 16:00:00,24.43,24.69,24,24.23,103725
7/19/2012 16:00:00,24.67,24.67,23.9,24,254456
7/20/2012 16:00:00,24.04,25.23,23.9,25.23,260839
7/23/2012 16:00:00,25.01,25.01,23.91,24.35,603333
7/24/2012 16:00:00,24.83,25.96,24.6,24.84,291458
7/25/2012 16:00:00,25.06,25.47,24.84,24.93,110704
7/26/2012 16:00:00,24.93,25.35,24,24.42,157915
7/27/2012 16:00:00,24.48,25.44,24.32,25.33,100051
7/30/2012 16:00:00,25.25,25.45,25.05,25.39,84203
7/31/2012 16:00:00,25.44,27.56,25.41,27,283931
8/1/2012 16:00:00,27.32,27.98,26.76,27.71,111834
8/2/2012 16:00:00,27.5,29.3,27,29.08,556879
8/3/2012 16:00:00,29.43,31.43,28.58,28.67,430928
8/6/2012 16:00:00,29,29.16,27.23,28.02,583736
8/7/2012 16:00:00,28.3,28.75,27.79,28,197951
8/8/2012 16:00:00,27.91,27.91,27.01,27.57,296624
8/9/2012 16:00:00,27.48,30.02,27.3,29.51,135433
8/10/2012 16:00:00,29.37,32,29.37,31.65,221263
8/13/2012 16:00:00,32.03,32.55,31.72,32.43,214803
8/14/2012 16:00:00,32.65,33.96,32.2,32.28,553200
8/15/2012 16:00:00,32.11,32.11,29.47,29.68,467714
8/16/2012 16:00:00,30.06,30.57,29.6,29.75,300501
8/17/2012 16:00:00,30,30.04,29.44,29.6,389247
8/20/2012 16:00:00,29.55,29.95,29.55,29.89,277662
8/21/2012 16:00:00,30.19,30.61,29.95,30.26,196645
8/22/2012 16:00:00,30.27,30.52,29.83,29.85,617755
8/23/2012 16:00:00,29.93,30.67,28.81,29.03,292194
8/24/2012 16:00:00,28.79,29.94,28.79,29.7,145544
8/27/2012 16:00:00,29.7,31.31,29.13,29.27,259951
8/28/2012 16:00:00,29.27,29.7,29.05,29.32,152466
8/29/2012 16:00:00,29.39,29.79,29.25,29.49,116549
8/30/2012 16:00:00,29.24,31,29.03,29.78,186469
8/31/2012 16:00:00,30.24,31.5,29.92,31.1,285934
9/4/2012 16:00:00,31.11,33.84,31.11,33.67,332776
9/5/2012 16:00:00,33.66,34.33,33.01,34.19,331630
9/6/2012 16:00:00,34.2,36.08,34.11,36.06,396188
9/7/2012 16:00:00,36.5,37.31,35.62,36.55,410974
9/10/2012 16:00:00,37,37,34.24,34.39,457263
9/11/2012 16:00:00,34.8,35.17,32.84,33.01,288458
9/12/2012 16:00:00,33.54,35.44,33.26,35.05,350491
9/13/2012 16:00:00,35.13,38.32,34.71,37.51,460486
9/14/2012 16:00:00,37.88,39.33,37.72,39.06,724049
9/17/2012 16:00:00,39,39.77,38.03,38.19,812252
9/18/2012 16:00:00,38.65,38.65,36.38,36.8,677909
9/19/2012 16:00:00,36.88,38.73,36.84,38.65,406231
9/20/2012 16:00:00,38.5,38.63,37.18,38,739402
9/21/2012 16:00:00,38.48,39.83,38.1,39.63,353590
9/24/2012 16:00:00,39.9,40.7,38.58,40.37,378688
9/25/2012 16:00:00,40.9,41.77,39.61,39.99,605401
9/26/2012 16:00:00,39.85,39.85,36.77,38.08,853831
9/27/2012 16:00:00,38.4,40.33,38.4,40.04,478750
9/28/2012 16:00:00,39.99,39.99,36.16,38.68,1582523
