Date,Open,High,Low,Close,Volume
4/30/1981 16:00:00,0.16,0.16,0.16,0.16,83800
5/1/1981 16:00:00,0.16,0.17,0.16,0.16,75900
5/4/1981 16:00:00,0.16,0.16,0.16,0.16,16700
5/5/1981 16:00:00,0.16,0.16,0.16,0.16,62800
5/6/1981 16:00:00,0.16,0.17,0.16,0.16,78500
5/7/1981 16:00:00,0.17,0.17,0.17,0.17,39100
5/8/1981 16:00:00,0.17,0.17,0.17,0.17,53100
5/11/1981 16:00:00,0.17,0.17,0.17,0.17,57100
5/12/1981 16:00:00,0.17,0.17,0.17,0.17,43900
5/13/1981 16:00:00,0.17,0.17,0.17,0.17,36800
5/14/1981 16:00:00,0.17,0.17,0.17,0.17,31200
5/15/1981 16:00:00,0.17,0.17,0.17,0.17,57800
5/18/1981 16:00:00,0.18,0.18,0.18,0.18,65800
5/19/1981 16:00:00,0.18,0.18,0.18,0.18,52500
5/20/1981 16:00:00,0.19,0.19,0.19,0.19,117500
5/21/1981 16:00:00,0.2,0.2,0.2,0.2,101300
5/22/1981 16:00:00,0.2,0.2,0.2,0.2,45600
5/26/1981 16:00:00,0.2,0.2,0.2,0.2,33700
5/27/1981 16:00:00,0.19,0.19,0.19,0.19,34700
5/28/1981 16:00:00,0.19,0.19,0.19,0.19,46600
5/29/1981 16:00:00,0.19,0.19,0.19,0.19,128000
6/1/1981 16:00:00,0.2,0.2,0.2,0.2,125300
6/2/1981 16:00:00,0.19,0.19,0.19,0.19,54400
6/3/1981 16:00:00,0.2,0.2,0.2,0.2,82200
6/4/1981 16:00:00,0.2,0.2,0.2,0.2,179500
6/5/1981 16:00:00,0.22,0.22,0.22,0.22,91700
6/8/1981 16:00:00,0.21,0.21,0.21,0.21,51500
6/9/1981 16:00:00,0.21,0.21,0.21,0.21,68500
6/10/1981 16:00:00,0.21,0.21,0.21,0.21,100000
6/11/1981 16:00:00,0.21,0.21,0.21,0.21,125100
6/12/1981 16:00:00,0.23,0.23,0.23,0.23,99300
6/15/1981 16:00:00,0.24,0.24,0.24,0.24,96200
6/16/1981 16:00:00,0.23,0.23,0.23,0.23,139500
6/17/1981 16:00:00,0.22,0.22,0.22,0.22,80800
6/18/1981 16:00:00,0.22,0.22,0.22,0.22,78200
6/19/1981 16:00:00,0.22,0.22,0.22,0.22,18500
6/22/1981 16:00:00,0.21,0.22,0.21,0.21,15100
6/23/1981 16:00:00,0.22,0.22,0.22,0.22,24500
6/24/1981 16:00:00,0.21,0.21,0.21,0.21,18000
6/25/1981 16:00:00,0.2,0.21,0.2,0.2,23800
6/26/1981 16:00:00,0.21,0.21,0.21,0.21,5200
6/29/1981 16:00:00,0.21,0.21,0.21,0.21,22900
6/30/1981 16:00:00,0.2,0.2,0.2,0.2,20700
7/1/1981 16:00:00,0.2,0.2,0.2,0.2,62700
7/2/1981 16:00:00,0.19,0.2,0.19,0.19,15200
7/6/1981 16:00:00,0.18,0.18,0.18,0.18,21200
7/7/1981 16:00:00,0.18,0.18,0.18,0.18,26100
7/9/1981 16:00:00,0.18,0.18,0.18,0.18,156000
7/10/1981 16:00:00,0.18,0.18,0.18,0.18,60600
7/13/1981 16:00:00,0.18,0.18,0.18,0.18,67200
7/14/1981 16:00:00,0.18,0.18,0.18,0.18,70600
7/15/1981 16:00:00,0.17,0.18,0.17,0.17,56800
7/16/1981 16:00:00,0.18,0.18,0.17,0.18,62900
7/17/1981 16:00:00,0.18,0.18,0.18,0.18,64400
7/20/1981 16:00:00,0.17,0.18,0.17,0.17,54900
7/21/1981 16:00:00,0.17,0.17,0.17,0.17,36400
7/22/1981 16:00:00,0.16,0.17,0.16,0.16,42400
7/23/1981 16:00:00,0.16,0.16,0.16,0.16,60100
7/24/1981 16:00:00,0.17,0.17,0.16,0.17,79900
7/27/1981 16:00:00,0.17,0.17,0.17,0.17,36000
7/28/1981 16:00:00,0.17,0.17,0.17,0.17,76200
7/29/1981 16:00:00,0.17,0.18,0.17,0.17,26000
7/30/1981 16:00:00,0.18,0.18,0.17,0.18,62900
7/31/1981 16:00:00,0.18,0.18,0.18,0.18,40000
8/3/1981 16:00:00,0.18,0.18,0.18,0.18,28100
8/4/1981 16:00:00,0.19,0.19,0.18,0.19,25400
8/5/1981 16:00:00,0.19,0.19,0.19,0.19,74000
8/6/1981 16:00:00,0.19,0.19,0.19,0.19,26700
8/7/1981 16:00:00,0.19,0.19,0.19,0.19,35500
8/10/1981 16:00:00,0.19,0.19,0.19,0.19,13600
8/11/1981 16:00:00,0.19,0.19,0.19,0.19,35800
8/12/1981 16:00:00,0.19,0.19,0.19,0.19,29300
8/13/1981 16:00:00,0.19,0.19,0.19,0.19,42700
8/14/1981 16:00:00,0.18,0.19,0.18,0.18,23900
8/17/1981 16:00:00,0.18,0.19,0.18,0.18,17200
8/18/1981 16:00:00,0.17,0.18,0.17,0.17,30000
8/19/1981 16:00:00,0.17,0.17,0.17,0.17,36200
8/20/1981 16:00:00,0.17,0.17,0.17,0.17,32400
8/21/1981 16:00:00,0.17,0.17,0.17,0.17,65800
8/24/1981 16:00:00,0.16,0.17,0.16,0.16,44900
8/25/1981 16:00:00,0.16,0.16,0.16,0.16,64500
8/26/1981 16:00:00,0.17,0.17,0.16,0.17,22900
8/27/1981 16:00:00,0.17,0.17,0.16,0.17,63200
8/28/1981 16:00:00,0.17,0.17,0.16,0.17,49500
8/31/1981 16:00:00,0.16,0.17,0.16,0.16,11500
9/1/1981 16:00:00,0.17,0.17,0.16,0.17,71500
9/2/1981 16:00:00,0.17,0.17,0.17,0.17,98300
9/3/1981 16:00:00,0.17,0.18,0.17,0.17,76500
9/4/1981 16:00:00,0.16,0.17,0.16,0.16,63300
9/8/1981 16:00:00,0.16,0.16,0.16,0.16,66300
9/9/1981 16:00:00,0.16,0.16,0.16,0.16,83200
9/10/1981 16:00:00,0.16,0.17,0.16,0.16,91400
9/11/1981 16:00:00,0.17,0.17,0.17,0.17,72600
9/14/1981 16:00:00,0.17,0.17,0.17,0.17,63400
9/15/1981 16:00:00,0.17,0.17,0.17,0.17,44100
9/16/1981 16:00:00,0.17,0.17,0.17,0.17,104000
9/17/1981 16:00:00,0.16,0.17,0.16,0.16,159600
9/18/1981 16:00:00,0.16,0.16,0.16,0.16,78200
9/21/1981 16:00:00,0.16,0.16,0.16,0.16,85700
9/22/1981 16:00:00,0.17,0.17,0.16,0.17,53900
