Date,Open,High,Low,Close,Volume
5/11/2000 16:00:00,29.21,29.82,29.06,29.82,1088700
5/12/2000 16:00:00,29.51,29.87,29.46,29.87,247200
5/15/2000 16:00:00,29.51,29.66,29.46,29.51,122100
5/16/2000 16:00:00,29.31,29.31,29.26,29.26,146500
5/17/2000 16:00:00,28.8,28.8,28.55,28.55,140900
5/18/2000 16:00:00,28.65,28.65,28.19,28.5,144200
5/19/2000 16:00:00,28.24,28.9,28.14,28.75,61600
5/22/2000 16:00:00,28.9,29.21,28.9,29,144900
5/23/2000 16:00:00,29.06,29.21,28.95,29,117200
5/24/2000 16:00:00,29.26,29.61,29.26,29.36,201300
5/25/2000 16:00:00,29.26,29.97,29.26,29.71,268900
5/26/2000 16:00:00,29.61,30.53,29.61,30.12,197800
5/30/2000 16:00:00,30.17,30.22,29.87,30.02,129900
5/31/2000 16:00:00,29.92,30.07,29.87,29.92,79500
6/1/2000 16:00:00,29.97,29.97,29.71,29.92,68400
6/2/2000 16:00:00,30.53,30.73,30.32,30.53,171600
6/5/2000 16:00:00,30.32,30.37,30.12,30.32,78400
6/6/2000 16:00:00,29.92,30.42,29.92,30.12,155700
6/7/2000 16:00:00,30.37,31.24,30.37,31.18,416700
6/8/2000 16:00:00,30.93,30.93,30.47,30.73,80400
6/9/2000 16:00:00,30.32,30.78,30.32,30.73,101300
6/12/2000 16:00:00,30.73,31.18,30.73,30.88,278100
6/13/2000 16:00:00,30.98,31.44,30.98,31.39,554200
6/14/2000 16:00:00,31.29,31.44,31.18,31.39,108000
6/15/2000 16:00:00,31.24,31.24,30.88,30.98,214300
6/16/2000 16:00:00,31.03,31.24,30.98,31.13,88400
6/19/2000 16:00:00,31.03,31.13,30.73,31.13,405900
6/20/2000 16:00:00,31.03,31.03,30.83,30.93,142100
6/21/2000 16:00:00,30.98,31.03,30.88,30.98,296800
6/22/2000 16:00:00,30.98,31.03,30.58,30.58,216500
6/23/2000 16:00:00,30.42,30.53,30.32,30.53,394700
6/26/2000 16:00:00,30.53,31.24,30.32,31.24,434200
6/27/2000 16:00:00,31.13,31.79,31.03,31.79,748800
6/28/2000 16:00:00,31.59,31.64,31.18,31.39,101100
6/29/2000 16:00:00,31.59,32,31.18,31.95,559200
6/30/2000 16:00:00,32.25,32.5,32.25,32.45,785400
7/3/2000 16:00:00,32.05,32.35,32,32.3,99300
7/5/2000 16:00:00,32.05,32.3,32,32.2,170800
7/6/2000 16:00:00,32.6,32.76,32.55,32.76,102700
7/7/2000 16:00:00,32.6,32.71,32.5,32.55,100300
7/10/2000 16:00:00,32.6,32.81,32.5,32.76,251700
7/11/2000 16:00:00,32.71,32.86,32.66,32.81,324200
7/12/2000 16:00:00,32.71,32.76,32.3,32.4,195000
7/13/2000 16:00:00,32.05,32.4,32,32.25,370300
7/14/2000 16:00:00,31.59,32,31.59,32,699600
7/17/2000 16:00:00,31.39,31.39,31.13,31.29,368600
7/18/2000 16:00:00,31.29,31.39,31.08,31.13,175800
7/19/2000 16:00:00,31.18,31.18,31.08,31.08,155000
7/20/2000 16:00:00,31.08,31.44,31.08,31.39,363000
7/21/2000 16:00:00,31.39,31.49,31.24,31.49,242200
7/24/2000 16:00:00,31.59,31.84,31.49,31.79,423300
7/25/2000 16:00:00,31.84,32,31.84,31.95,302700
7/26/2000 16:00:00,31.59,31.79,31.54,31.79,248900
7/27/2000 16:00:00,31.59,31.69,31.59,31.69,136500
7/28/2000 16:00:00,31.18,31.29,31.13,31.29,121000
7/31/2000 16:00:00,31.29,31.39,31.24,31.29,157000
8/1/2000 16:00:00,31.49,31.49,31.29,31.44,115300
8/2/2000 16:00:00,31.34,31.39,31.18,31.34,124600
8/3/2000 16:00:00,30.98,31.08,30.83,31.03,130400
8/4/2000 16:00:00,31.18,31.18,30.98,31.03,114600
8/7/2000 16:00:00,31.54,31.79,31.44,31.64,160000
8/8/2000 16:00:00,31.29,31.39,31.13,31.34,111900
8/9/2000 16:00:00,31.18,31.24,30.68,30.73,117600
8/10/2000 16:00:00,30.93,31.03,30.83,30.93,87800
8/11/2000 16:00:00,30.98,30.98,30.83,30.83,67100
8/14/2000 16:00:00,30.88,31.13,30.68,31.08,117700
8/15/2000 16:00:00,31.08,31.34,31.08,31.34,31400
8/16/2000 16:00:00,30.93,31.44,30.93,31.39,139400
8/17/2000 16:00:00,31.44,31.49,31.24,31.44,52700
8/18/2000 16:00:00,30.98,31.59,30.88,31.39,73900
8/21/2000 16:00:00,31.03,31.34,30.98,31.34,151400
8/22/2000 16:00:00,30.88,31.24,30.88,31.03,106400
8/23/2000 16:00:00,31.39,31.59,31.29,31.44,106100
8/24/2000 16:00:00,31.59,31.84,31.59,31.84,184600
8/25/2000 16:00:00,31.64,31.89,31.59,31.74,80800
8/28/2000 16:00:00,31.79,31.89,31.74,31.84,53200
8/29/2000 16:00:00,31.24,31.29,30.93,31.24,283400
8/30/2000 16:00:00,30.63,30.88,30.63,30.83,147700
8/31/2000 16:00:00,30.78,30.88,30.63,30.68,102700
9/1/2000 16:00:00,30.98,31.29,30.98,31.13,70700
9/5/2000 16:00:00,30.07,30.27,29.92,30.17,227800
9/6/2000 16:00:00,29.92,29.92,29.61,29.82,293600
9/7/2000 16:00:00,29.56,29.87,29.46,29.82,88900
9/8/2000 16:00:00,29.41,29.46,29.11,29.41,121000
9/11/2000 16:00:00,29.51,30.02,29.51,29.66,65600
9/12/2000 16:00:00,29.82,30.07,29.71,29.92,53100
9/13/2000 16:00:00,30.07,30.22,30.07,30.12,83400
9/14/2000 16:00:00,30.02,30.02,29.66,29.76,51400
9/15/2000 16:00:00,29.61,29.82,29.56,29.71,51000
9/18/2000 16:00:00,29.41,29.61,29.36,29.51,60800
9/19/2000 16:00:00,29.87,29.97,29.61,29.92,89600
9/20/2000 16:00:00,29.56,29.56,29.36,29.56,62300
9/21/2000 16:00:00,29.87,30.22,29.66,29.92,126200
9/22/2000 16:00:00,30.98,31.59,30.98,31.54,107300
9/25/2000 16:00:00,31.13,31.44,31.03,31.18,126100
9/26/2000 16:00:00,31.24,31.44,31.08,31.34,106800
9/27/2000 16:00:00,31.49,31.59,31.39,31.54,111100
9/28/2000 16:00:00,31.64,31.79,31.29,31.69,122100
9/29/2000 16:00:00,31.59,31.59,31.24,31.39,85300
10/2/2000 16:00:00,31.39,31.59,31.34,31.54,81600
10/3/2000 16:00:00,31.34,31.59,31.24,31.44,61900
10/4/2000 16:00:00,31.49,31.64,31.24,31.54,66900
10/5/2000 16:00:00,31.54,31.59,31.34,31.39,21700
10/6/2000 16:00:00,31.44,31.44,31.08,31.29,100900
10/9/2000 16:00:00,31.29,31.34,30.93,31.24,146500
10/10/2000 16:00:00,31.24,31.44,31.24,31.39,46700
10/11/2000 16:00:00,31.79,32.05,31.24,31.44,212800
10/12/2000 16:00:00,31.49,31.79,31.39,31.64,217400
10/13/2000 16:00:00,31.59,31.64,31.13,31.18,171300
10/16/2000 16:00:00,31.03,31.03,30.53,30.83,249200
10/17/2000 16:00:00,30.68,30.73,30.58,30.68,198100
10/18/2000 16:00:00,30.53,30.93,30.53,30.88,240900
10/19/2000 16:00:00,30.73,30.88,30.47,30.68,113900
10/20/2000 16:00:00,30.78,30.78,30.58,30.68,283000
10/23/2000 16:00:00,30.63,30.83,30.58,30.78,213700
10/24/2000 16:00:00,30.93,31.13,30.93,31.03,174900
10/25/2000 16:00:00,30.83,30.93,30.83,30.93,78900
10/26/2000 16:00:00,30.63,31.08,30.58,30.93,134700
10/27/2000 16:00:00,31.03,31.18,30.88,31.18,57200
10/30/2000 16:00:00,31.03,31.49,30.98,31.39,326100
10/31/2000 16:00:00,31.18,31.18,30.78,31.13,191900
11/1/2000 16:00:00,31.24,31.39,30.93,31.24,60400
11/2/2000 16:00:00,31.13,31.49,30.98,31.39,111500
11/3/2000 16:00:00,31.39,31.79,31.29,31.79,131700
11/6/2000 16:00:00,31.64,32.55,31.64,32.5,200300
11/7/2000 16:00:00,31.64,32.55,31.64,32.15,150400
11/8/2000 16:00:00,32.15,32.66,32.1,32.66,325600
11/9/2000 16:00:00,32.3,32.35,32,32,90600
11/10/2000 16:00:00,32,33.11,32,32.96,62700
11/13/2000 16:00:00,32.45,32.66,32.2,32.4,117500
11/14/2000 16:00:00,32.66,32.97,32.3,32.92,172200
11/15/2000 16:00:00,32.5,32.71,32.5,32.5,96100
11/16/2000 16:00:00,32.19,32.5,32.19,32.3,108300
11/17/2000 16:00:00,32.35,32.5,32.19,32.35,130900
11/20/2000 16:00:00,31.98,32.5,31.98,32.45,94600
11/21/2000 16:00:00,32.76,32.87,32.55,32.61,70200
11/22/2000 16:00:00,32.5,32.5,32.3,32.35,49900
11/24/2000 16:00:00,32.04,32.71,32.04,32.66,480800
11/27/2000 16:00:00,32.5,33.07,32.4,33.07,210200
11/28/2000 16:00:00,33.18,33.28,33.07,33.23,136400
11/29/2000 16:00:00,33.28,33.44,33.13,33.28,118700
11/30/2000 16:00:00,33.49,33.9,33.49,33.7,115800
12/1/2000 16:00:00,33.7,34.01,33.59,34.01,114400
12/4/2000 16:00:00,34.99,35.67,34.94,35.46,931500
12/5/2000 16:00:00,35.57,36.24,35.57,35.72,908600
12/6/2000 16:00:00,34.06,34.68,33.96,34.53,837400
12/7/2000 16:00:00,34.06,34.48,34.01,34.48,299800
12/8/2000 16:00:00,34.16,34.48,33.7,34.11,491600
12/11/2000 16:00:00,33.64,33.8,33.54,33.64,360900
12/12/2000 16:00:00,33.49,33.7,33.33,33.64,316200
12/13/2000 16:00:00,33.59,34.01,33.49,33.8,249200
12/14/2000 16:00:00,33.64,34.06,33.54,33.85,236300
12/15/2000 16:00:00,34.16,34.42,34.06,34.11,166100
12/18/2000 16:00:00,34.63,35.31,34.63,35.15,214300
12/19/2000 16:00:00,35.15,35.51,34.94,35.46,296900
12/20/2000 16:00:00,34.99,35.98,34.99,35.93,464800
12/21/2000 16:00:00,34.94,35.31,34.84,34.99,625100
12/22/2000 16:00:00,34.89,35.31,34.89,35.31,273100
12/26/2000 16:00:00,35.31,35.77,35.31,35.77,215700
12/27/2000 16:00:00,35.72,37.12,35.62,36.55,940700
12/28/2000 16:00:00,36.6,36.76,36.34,36.76,358700
12/29/2000 16:00:00,36.55,37.33,36.55,37.18,386400
1/2/2001 16:00:00,36.97,37.44,36.97,37.23,288700
1/3/2001 16:00:00,38.06,38.94,37.38,37.38,1085900
1/4/2001 16:00:00,36.97,37.23,36.5,36.76,357200
1/5/2001 16:00:00,35.72,36.03,35.36,35.77,416900
1/8/2001 16:00:00,34.58,34.94,34.48,34.79,696400
1/9/2001 16:00:00,34.63,34.68,34.32,34.63,246100
1/10/2001 16:00:00,34.27,34.27,33.7,33.96,497500
1/11/2001 16:00:00,34.48,34.99,34.48,34.99,359200
1/12/2001 16:00:00,34.16,34.53,34.06,34.27,415700
1/16/2001 16:00:00,33.96,34.42,33.9,34.22,315700
1/17/2001 16:00:00,34.27,34.27,33.96,34.22,125500
1/18/2001 16:00:00,34.22,34.79,34.01,34.58,307200
1/19/2001 16:00:00,33.85,33.9,33.49,33.8,214300
1/22/2001 16:00:00,34.01,34.16,33.9,34.11,283300
1/23/2001 16:00:00,34.48,34.53,34.06,34.53,633200
1/24/2001 16:00:00,33.85,34.06,33.75,34.06,401500
1/25/2001 16:00:00,34.11,34.53,34.06,34.53,324400
1/26/2001 16:00:00,34.68,34.99,34.63,34.79,246900
1/29/2001 16:00:00,34.75,34.84,34.59,34.72,386100
1/30/2001 16:00:00,34.81,35.22,34.72,35.11,306200
1/31/2001 16:00:00,35.22,35.79,35.1,35.58,469200
2/1/2001 16:00:00,35.3,35.51,35.3,35.48,537300
2/2/2001 16:00:00,35.14,35.22,34.9,35.22,565900
