Date,Open,High,Low,Close,Volume
9/18/1995 16:00:00,13.25,13.25,13.25,13.25,1200
9/19/1995 16:00:00,13.38,13.38,13.38,13.38,12396
9/20/1995 16:00:00,13.63,13.63,13.63,13.63,7992
9/21/1995 16:00:00,13.75,13.75,13.75,13.75,43200
9/22/1995 16:00:00,12.88,12.88,12.88,12.88,49992
9/25/1995 16:00:00,13.5,13.5,13.5,13.5,7596
9/26/1995 16:00:00,14,14,14,14,9192
9/28/1995 16:00:00,13.69,13.69,13.69,13.69,3192
9/29/1995 16:00:00,13.75,13.75,13.75,13.75,13992
10/2/1995 16:00:00,13.75,13.75,13.75,13.75,75600
10/3/1995 16:00:00,13.69,13.69,13.69,13.69,3600
10/4/1995 16:00:00,14,14,14,14,80796
10/5/1995 16:00:00,13.5,13.5,13.5,13.5,792
10/6/1995 16:00:00,13.25,13.25,13.25,13.25,1596
10/9/1995 16:00:00,13.38,13.38,13.38,13.38,5196
10/10/1995 16:00:00,12.59,12.59,12.59,12.59,11196
10/11/1995 16:00:00,12.69,12.69,12.69,12.69,3192
10/12/1995 16:00:00,12.88,12.88,12.88,12.88,3192
10/13/1995 16:00:00,13.5,13.5,13.5,13.5,17196
10/16/1995 16:00:00,13.38,13.38,13.38,13.38,3996
10/17/1995 16:00:00,13.5,13.5,13.5,13.5,101592
10/18/1995 16:00:00,12.25,12.25,12.25,12.25,465996
10/19/1995 16:00:00,12.38,12.38,12.38,12.38,23196
10/20/1995 16:00:00,12.38,12.38,12.38,12.38,11196
10/23/1995 16:00:00,12.19,12.19,12.19,12.19,5592
10/24/1995 16:00:00,12.25,12.25,12.25,12.25,6792
10/25/1995 16:00:00,12.63,12.63,12.63,12.63,5592
10/26/1995 16:00:00,12.38,12.38,12.38,12.38,30396
10/27/1995 16:00:00,12,12,12,12,25992
10/30/1995 16:00:00,12.63,12.63,12.63,12.63,3192
10/31/1995 16:00:00,12.94,12.94,12.94,12.94,22800
11/1/1995 16:00:00,12.75,12.75,12.75,12.75,7200
11/2/1995 16:00:00,12.75,12.75,12.75,12.75,98796
11/3/1995 16:00:00,13,13,13,13,68400
11/6/1995 16:00:00,13.19,13.19,13.19,13.19,10392
11/7/1995 16:00:00,13.5,13.5,13.5,13.5,4800
