Date,Open,High,Low,Close,Volume
3/12/1984 16:00:00,6.06,6.09,6.02,6.06,2049600
4/12/1984 16:00:00,6.2,6.2,6.08,6.2,3112000
5/11/1984 16:00:00,6.44,6.47,6.38,6.44,3051200
6/11/1984 16:00:00,6.41,6.45,6.39,6.41,1793600
6/12/1984 16:00:00,6.17,6.19,6.11,6.17,1476800
7/11/1984 16:00:00,6.36,6.41,6.33,6.36,2289600
7/12/1984 16:00:00,6.19,6.22,6.17,6.19,1396000
9/11/1984 16:00:00,6.48,6.55,6.48,6.48,3644000
10/12/1984 16:00:00,6.23,6.23,6.17,6.23,912800
11/12/1984 16:00:00,6.22,6.25,6.2,6.22,1468800
11/13/1984 16:00:00,6.5,6.56,6.5,6.5,1365600
11/14/1984 16:00:00,6.5,6.52,6.48,6.5,1316800
11/15/1984 16:00:00,6.48,6.52,6.45,6.48,2942400
11/16/1984 16:00:00,6.44,6.52,6.44,6.44,3416800
11/19/1984 16:00:00,6.28,6.38,6.28,6.28,1100000
11/20/1984 16:00:00,6.33,6.33,6.27,6.33,2169600
11/21/1984 16:00:00,6.25,6.28,6.23,6.25,2196800
11/23/1984 16:00:00,6.22,6.23,6.17,6.22,1942400
11/26/1984 16:00:00,6.17,6.19,6.14,6.17,1469600
11/27/1984 16:00:00,6.13,6.16,6.09,6.13,1476000
11/28/1984 16:00:00,6.11,6.19,6.09,6.11,1659200
11/29/1984 16:00:00,6.06,6.08,6.06,6.06,1692000
11/30/1984 16:00:00,6.02,6.05,6,6.02,1672000
12/11/1984 16:00:00,6.5,6.52,6.48,6.5,641600
12/12/1984 16:00:00,6.17,6.22,6.17,6.17,2852000
12/13/1984 16:00:00,6.02,6.11,5.97,6.02,812000
12/14/1984 16:00:00,6,6.05,6,6,1443200
12/17/1984 16:00:00,6.02,6.03,5.95,6.02,1295200
12/18/1984 16:00:00,6.16,6.17,6.02,6.16,4146400
12/19/1984 16:00:00,6.05,6.16,6.03,6.05,2524000
12/20/1984 16:00:00,6,6.03,5.98,6,1934400
12/21/1984 16:00:00,5.91,6.02,5.89,5.91,2021600
12/24/1984 16:00:00,5.97,5.98,5.92,5.97,901600
12/26/1984 16:00:00,5.95,5.98,5.95,5.95,1616000
12/27/1984 16:00:00,5.98,6,5.95,5.98,1624000
12/28/1984 16:00:00,6.14,6.16,6.02,6.14,1554400
12/31/1984 16:00:00,6.17,6.23,6.14,6.17,1376000
1/2/1985 16:00:00,6.61,6.64,6.59,6.61,5115200
1/3/1985 16:00:00,6.69,6.7,6.61,6.69,3119200
1/4/1985 16:00:00,7.09,7.13,7.08,7.09,1582400
1/7/1985 16:00:00,7.38,7.38,7.33,7.38,1953600
1/8/1985 16:00:00,7.67,7.77,7.64,7.67,1982400
1/10/1985 16:00:00,8.02,8.06,7.84,8.02,5602400
1/11/1985 16:00:00,8.05,8.05,7.92,8.05,1329600
1/14/1985 16:00:00,6.13,6.13,6.06,6.13,6456000
1/15/1985 16:00:00,6.22,6.25,6.19,6.22,7363200
1/16/1985 16:00:00,6.2,6.25,6.17,6.2,3440000
1/17/1985 16:00:00,6.14,6.19,6.14,6.14,2223200
1/18/1985 16:00:00,6.16,6.19,6.14,6.16,1864800
1/21/1985 16:00:00,6.33,6.34,6.19,6.33,3771200
1/22/1985 16:00:00,6.41,6.45,6.38,6.41,5982400
1/23/1985 16:00:00,6.44,6.45,6.36,6.44,3640000
1/24/1985 16:00:00,6.41,6.45,6.39,6.41,3892800
1/25/1985 16:00:00,6.45,6.47,6.42,6.45,2864800
1/28/1985 16:00:00,6.38,6.41,6.36,6.38,2948000
1/29/1985 16:00:00,6.42,6.44,6.34,6.42,6714400
1/30/1985 16:00:00,6.58,6.59,6.48,6.58,5551200
1/31/1985 16:00:00,6.64,6.7,6.56,6.64,5397600
2/1/1985 16:00:00,6.11,6.16,6.11,6.11,1952800
2/4/1985 16:00:00,7.17,7.2,7.11,7.17,4485600
2/5/1985 16:00:00,7.3,7.31,7.27,7.3,2098400
2/7/1985 16:00:00,7.33,7.38,7.33,7.33,1420000
2/8/1985 16:00:00,7.58,7.64,7.58,7.58,880000
