Date,Open,High,Low,Close,Volume
7/28/2004 16:00:00,12.34,12.6,11.5,12.34,54634
7/29/2004 16:00:00,12.18,12.7,12,12.18,67280
7/30/2004 16:00:00,11.8,12.4,11.6,11.8,80547
8/2/2004 16:00:00,11.8,12.5,11.6,11.8,217750
8/3/2004 16:00:00,11.6,12.2,11.5,11.6,52566
8/4/2004 16:00:00,11.5,12.1,11.3,11.5,614805
8/5/2004 16:00:00,12.2,12.3,11.4,12.2,89294
8/6/2004 16:00:00,12.1,12.4,11.3,12.1,66001
8/9/2004 16:00:00,11.4,11.9,11.2,11.4,83184
8/10/2004 16:00:00,11.4,11.5,11,11.4,91148
8/11/2004 16:00:00,11.2,13.62,11.2,11.2,165341
8/12/2004 16:00:00,11.4,11.9,11.2,11.4,426021
8/13/2004 16:00:00,11.2,11.72,11,11.2,104406
8/16/2004 16:00:00,11.5,11.6,10.9,11.5,110046
8/17/2004 16:00:00,10.9,11.3,10.5,10.9,53988
8/18/2004 16:00:00,10.9,11.8,10.8,10.9,100930
8/19/2004 16:00:00,11.4,11.7,10.9,11.4,39807
8/20/2004 16:00:00,11.3,12,11.18,11.3,150438
8/23/2004 16:00:00,11.4,11.9,11.4,11.4,69124
8/24/2004 16:00:00,11.36,12,11.3,11.36,72249
8/25/2004 16:00:00,10.7,11.8,10.5,10.7,289793
8/26/2004 16:00:00,11.2,11.7,11,11.2,34747
8/27/2004 16:00:00,11.3,11.9,11.2,11.3,38863
8/30/2004 16:00:00,12.2,12.5,11.7,12.2,402906
8/31/2004 16:00:00,11.9,12.3,11.7,11.9,448086
9/1/2004 16:00:00,12.3,12.4,11.5,12.3,190810
9/2/2004 16:00:00,12,12.4,11.8,12,64583
9/3/2004 16:00:00,12,12.3,11.8,12,40773
9/9/2004 16:00:00,12.3,12.6,12,12.3,122067
9/10/2004 16:00:00,12.3,12.5,11.8,12.3,116116
9/13/2004 16:00:00,12.4,12.4,11.8,12.4,51873
