Date,Open,High,Low,Close,Volume
8/18/1976 16:00:00,2.94,2.94,2.94,2.94,2700
8/19/1976 16:00:00,2.93,2.93,2.93,2.93,100
8/20/1976 16:00:00,2.91,2.91,2.91,2.91,1500
8/23/1976 16:00:00,2.82,2.82,2.82,2.82,300
8/24/1976 16:00:00,2.79,2.79,2.79,2.79,1300
8/25/1976 16:00:00,2.76,2.76,2.76,2.76,1500
8/26/1976 16:00:00,2.77,2.77,2.77,2.77,200
8/27/1976 16:00:00,2.87,2.87,2.87,2.87,700
8/30/1976 16:00:00,2.81,2.81,2.81,2.81,5200
9/2/1976 16:00:00,2.78,2.78,2.78,2.78,8200
9/3/1976 16:00:00,2.73,2.73,2.73,2.73,200
9/7/1976 16:00:00,2.66,2.66,2.66,2.66,4400
9/8/1976 16:00:00,2.68,2.68,2.68,2.68,4300
9/9/1976 16:00:00,2.66,2.66,2.66,2.66,300
9/10/1976 16:00:00,2.7,2.7,2.7,2.7,100
9/13/1976 16:00:00,2.65,2.65,2.65,2.65,13900
9/14/1976 16:00:00,2.63,2.63,2.63,2.63,3200
9/15/1976 16:00:00,2.63,2.63,2.63,2.63,4300
9/16/1976 16:00:00,2.59,2.59,2.59,2.59,8400
9/17/1976 16:00:00,2.59,2.59,2.59,2.59,100
9/20/1976 16:00:00,2.59,2.59,2.59,2.59,100
9/21/1976 16:00:00,2.59,2.59,2.59,2.59,9900
9/22/1976 16:00:00,2.59,2.59,2.59,2.59,300
9/23/1976 16:00:00,2.59,2.59,2.59,2.59,100
9/24/1976 16:00:00,2.59,2.59,2.59,2.59,700
9/27/1976 16:00:00,2.58,2.58,2.58,2.58,200
9/28/1976 16:00:00,2.57,2.57,2.57,2.57,5500
9/29/1976 16:00:00,2.61,2.61,2.61,2.61,3200
9/30/1976 16:00:00,2.59,2.59,2.59,2.59,100
10/1/1976 16:00:00,2.58,2.58,2.58,2.58,3600
10/4/1976 16:00:00,2.58,2.58,2.58,2.58,200
10/5/1976 16:00:00,2.59,2.59,2.59,2.59,1500
10/6/1976 16:00:00,2.61,2.61,2.61,2.61,1900
10/7/1976 16:00:00,2.65,2.65,2.65,2.65,1500
10/8/1976 16:00:00,2.66,2.66,2.66,2.66,4000
10/11/1976 16:00:00,2.65,2.65,2.65,2.65,700
10/12/1976 16:00:00,2.59,2.59,2.59,2.59,2300
10/13/1976 16:00:00,2.61,2.61,2.61,2.61,1300
10/14/1976 16:00:00,2.62,2.62,2.62,2.62,200
10/19/1976 16:00:00,2.61,2.61,2.61,2.61,700
10/21/1976 16:00:00,2.65,2.65,2.65,2.65,5600
10/22/1976 16:00:00,2.66,2.66,2.66,2.66,2200
10/25/1976 16:00:00,2.72,2.72,2.72,2.72,2200
10/26/1976 16:00:00,2.72,2.72,2.72,2.72,700
10/27/1976 16:00:00,2.79,2.79,2.79,2.79,1300
10/29/1976 16:00:00,2.82,2.82,2.82,2.82,100
11/1/1976 16:00:00,2.82,2.82,2.82,2.82,300
11/3/1976 16:00:00,2.74,2.74,2.74,2.74,3400
11/4/1976 16:00:00,2.71,2.71,2.71,2.71,4600
11/5/1976 16:00:00,2.65,2.65,2.65,2.65,700
11/8/1976 16:00:00,2.65,2.65,2.65,2.65,1500
11/9/1976 16:00:00,2.65,2.65,2.65,2.65,100
11/10/1976 16:00:00,2.65,2.65,2.65,2.65,300
11/11/1976 16:00:00,2.78,2.78,2.78,2.78,1700
11/12/1976 16:00:00,2.85,2.85,2.85,2.85,1700
11/15/1976 16:00:00,2.76,2.76,2.76,2.76,100
11/16/1976 16:00:00,2.7,2.7,2.7,2.7,200
11/18/1976 16:00:00,2.65,2.65,2.65,2.65,2500
11/19/1976 16:00:00,2.66,2.66,2.66,2.66,700
11/22/1976 16:00:00,2.73,2.73,2.73,2.73,200
11/23/1976 16:00:00,2.73,2.73,2.73,2.73,1900
11/29/1976 16:00:00,2.7,2.7,2.7,2.7,700
12/1/1976 16:00:00,2.69,2.69,2.69,2.69,700
12/2/1976 16:00:00,2.69,2.69,2.69,2.69,700
12/3/1976 16:00:00,2.83,2.83,2.83,2.83,1900
12/6/1976 16:00:00,3.1,3.1,3.1,3.1,3200
12/7/1976 16:00:00,3.2,3.2,3.2,3.2,4400
12/8/1976 16:00:00,3.24,3.24,3.24,3.24,700
12/9/1976 16:00:00,3.22,3.22,3.22,3.22,100
12/13/1976 16:00:00,3.37,3.37,3.37,3.37,3200
12/14/1976 16:00:00,3.4,3.4,3.4,3.4,1300
12/15/1976 16:00:00,3.5,3.5,3.5,3.5,800
12/16/1976 16:00:00,3.44,3.44,3.44,3.44,700
12/17/1976 16:00:00,3.48,3.48,3.48,3.48,100
12/20/1976 16:00:00,3.4,3.4,3.4,3.4,100
12/21/1976 16:00:00,3.39,3.39,3.39,3.39,100
12/22/1976 16:00:00,3.46,3.46,3.46,3.46,1700
12/23/1976 16:00:00,3.65,3.65,3.65,3.65,300
12/27/1976 16:00:00,3.97,3.97,3.97,3.97,4300
12/28/1976 16:00:00,3.95,3.95,3.95,3.95,700
12/29/1976 16:00:00,3.93,3.93,3.93,3.93,300
12/30/1976 16:00:00,3.95,3.95,3.95,3.95,700
12/31/1976 16:00:00,3.95,3.95,3.95,3.95,700
1/3/1977 16:00:00,3.96,3.96,3.96,3.96,100
1/5/1977 16:00:00,3.87,3.87,3.87,3.87,4300
1/6/1977 16:00:00,3.74,3.74,3.74,3.74,2700
1/10/1977 16:00:00,3.76,3.76,3.76,3.76,700
1/11/1977 16:00:00,3.63,3.63,3.63,3.63,2500
1/12/1977 16:00:00,3.61,3.61,3.61,3.61,100
1/13/1977 16:00:00,3.81,3.81,3.81,3.81,700
1/14/1977 16:00:00,3.78,3.78,3.78,3.78,700
1/17/1977 16:00:00,3.65,3.65,3.65,3.65,100
1/19/1977 16:00:00,3.88,3.88,3.88,3.88,3200
1/20/1977 16:00:00,3.79,3.79,3.79,3.79,2900
1/21/1977 16:00:00,3.98,3.98,3.98,3.98,700
1/24/1977 16:00:00,4.09,4.09,4.09,4.09,2700
1/25/1977 16:00:00,4,4,4,4,100
1/26/1977 16:00:00,4.15,4.15,4.15,4.15,7300
1/27/1977 16:00:00,4.09,4.09,4.09,4.09,1800
1/28/1977 16:00:00,4.09,4.09,4.09,4.09,100
1/31/1977 16:00:00,3.92,3.92,3.92,3.92,200
2/1/1977 16:00:00,3.97,3.97,3.97,3.97,2700
2/2/1977 16:00:00,4.15,4.15,4.15,4.15,1800
2/3/1977 16:00:00,4.01,4.01,4.01,4.01,1800
2/4/1977 16:00:00,4.11,4.11,4.11,4.11,700
2/7/1977 16:00:00,4.32,4.32,4.32,4.32,300
2/8/1977 16:00:00,4.35,4.35,4.35,4.35,2200
2/9/1977 16:00:00,4.25,4.25,4.25,4.25,1600
2/10/1977 16:00:00,4.17,4.17,4.17,4.17,300
2/11/1977 16:00:00,4.17,4.17,4.17,4.17,100
2/14/1977 16:00:00,3.98,3.98,3.98,3.98,2500
2/15/1977 16:00:00,4.01,4.01,4.01,4.01,100
2/16/1977 16:00:00,4.01,4.01,4.01,4.01,1900
2/17/1977 16:00:00,4.18,4.18,4.18,4.18,800
2/18/1977 16:00:00,4.05,4.05,4.05,4.05,300
2/22/1977 16:00:00,4.09,4.09,4.09,4.09,300
2/24/1977 16:00:00,4.15,4.15,4.15,4.15,3600
2/25/1977 16:00:00,4.15,4.15,4.15,4.15,1900
2/28/1977 16:00:00,4.15,4.15,4.15,4.15,700
3/1/1977 16:00:00,4.12,4.12,4.12,4.12,3200
3/2/1977 16:00:00,4.11,4.11,4.11,4.11,1300
3/3/1977 16:00:00,4.09,4.09,4.09,4.09,200
3/4/1977 16:00:00,4.1,4.1,4.1,4.1,100
3/7/1977 16:00:00,4.01,4.01,4.01,4.01,200
