Date,Open,High,Low,Close,Volume
10/8/1997 16:00:00,5.49,5.51,5.22,5.49,2579124
10/9/1997 16:00:00,5.59,6.49,5.58,6.26,2167736
10/10/1997 16:00:00,6.94,6.97,6.29,6.55,2267033
10/13/1997 16:00:00,6.56,6.56,6.37,6.4,647081
10/14/1997 16:00:00,6.35,6.36,5.97,6.14,541983
10/15/1997 16:00:00,5.76,5.98,5.74,5.97,673180
10/16/1997 16:00:00,5.97,5.97,5.76,5.78,376388
10/17/1997 16:00:00,5.52,5.53,5.27,5.28,697979
10/20/1997 16:00:00,4.42,4.73,4.4,4.63,2444328
10/21/1997 16:00:00,4.84,5.28,4.81,5.28,1471857
10/22/1997 16:00:00,4.86,4.88,4.65,4.67,946371
10/23/1997 16:00:00,4.52,4.52,4.21,4.39,2644722
10/24/1997 16:00:00,4.5,4.52,4.05,4.15,2018441
10/27/1997 16:00:00,4.05,4.05,3.59,3.6,824275
10/28/1997 16:00:00,3.31,4.42,3.29,4.42,2048940
10/29/1997 16:00:00,4.05,4.17,4,4.01,1584753
10/30/1997 16:00:00,3.79,3.94,3.77,3.9,593582
10/31/1997 16:00:00,4.05,4.25,4.03,4.15,767077
11/3/1997 16:00:00,4.53,4.84,4.52,4.77,1313961
11/4/1997 16:00:00,4.74,4.82,4.64,4.77,667680
11/5/1997 16:00:00,4.86,5.19,4.86,5.15,843875
11/6/1997 16:00:00,5.34,5.36,5.07,5.12,775776
11/7/1997 16:00:00,4.76,5.03,4.73,5.01,946772
11/10/1997 16:00:00,5.21,5.23,5.02,5.03,517585
11/11/1997 16:00:00,4.95,5.02,4.91,4.93,466486
11/12/1997 16:00:00,4.77,4.77,4.64,4.65,830075
11/13/1997 16:00:00,4.71,4.88,4.55,4.61,524584
11/14/1997 16:00:00,4.71,4.77,4.55,4.61,468886
11/17/1997 16:00:00,4.93,4.94,4.84,4.94,699379
11/18/1997 16:00:00,4.78,4.78,4.6,4.63,476286
11/19/1997 16:00:00,4.57,4.57,4.44,4.49,306690
11/20/1997 16:00:00,4.41,4.47,4.38,4.39,547983
11/21/1997 16:00:00,4.42,4.61,4.42,4.61,897673
11/24/1997 16:00:00,4.39,4.52,4.39,4.51,479286
11/26/1997 16:00:00,4.58,4.59,4.49,4.55,241592
11/28/1997 16:00:00,4.63,4.63,4.61,4.63,230293
12/1/1997 16:00:00,4.42,4.42,4.35,4.42,497785
12/2/1997 16:00:00,4.46,4.49,4.4,4.42,468286
12/3/1997 16:00:00,4.49,4.49,4.38,4.44,591682
12/4/1997 16:00:00,4.65,4.69,4.63,4.63,578482
12/5/1997 16:00:00,4.63,4.68,4.6,4.64,381788
12/8/1997 16:00:00,4.81,4.94,4.81,4.84,429387
12/9/1997 16:00:00,4.73,4.73,4.63,4.63,306091
12/10/1997 16:00:00,4.69,4.69,4.42,4.43,296291
12/11/1997 16:00:00,4.23,4.25,4.17,4.23,664680
12/12/1997 16:00:00,4.22,4.28,4.19,4.19,482885
12/15/1997 16:00:00,4.17,4.17,3.84,3.84,1097368
12/16/1997 16:00:00,3.84,4.02,3.81,3.96,794076
12/18/1997 16:00:00,3.8,3.8,3.68,3.68,217493
12/19/1997 16:00:00,3.65,3.96,3.63,3.9,649480
12/22/1997 16:00:00,3.88,3.94,3.82,3.86,269191
12/23/1997 16:00:00,3.8,3.8,3.73,3.75,172894
12/24/1997 16:00:00,3.75,3.8,3.72,3.73,153395
12/26/1997 16:00:00,3.73,3.8,3.73,3.79,62198
12/29/1997 16:00:00,3.84,3.86,3.8,3.81,202194
12/30/1997 16:00:00,3.84,3.94,3.84,3.94,311490
12/31/1997 16:00:00,3.94,3.94,3.79,3.82,194994
1/2/1998 16:00:00,3.81,3.88,3.8,3.88,120896
1/5/1998 16:00:00,3.88,3.9,3.8,3.86,371889
1/6/1998 16:00:00,3.82,3.82,3.77,3.79,319690
1/7/1998 16:00:00,3.71,3.71,3.42,3.42,284191
1/8/1998 16:00:00,3.37,3.38,3.26,3.26,974371
1/9/1998 16:00:00,3.26,3.27,3.14,3.14,978971
1/12/1998 16:00:00,3,3.21,2.81,3.17,707579
1/13/1998 16:00:00,3.3,3.56,3.29,3.54,450386
1/15/1998 16:00:00,3.58,3.6,3.5,3.55,383788
1/16/1998 16:00:00,3.69,3.69,3.65,3.67,492985
1/20/1998 16:00:00,3.76,3.93,3.76,3.88,692179
1/21/1998 16:00:00,3.86,3.97,3.85,3.96,610082
1/22/1998 16:00:00,3.96,4.07,3.89,4.06,381589
1/23/1998 16:00:00,4.17,4.18,4.07,4.15,254092
1/26/1998 16:00:00,4.44,4.47,4.35,4.47,698879
1/27/1998 16:00:00,4.5,4.63,4.48,4.6,461586
1/28/1998 16:00:00,4.63,4.84,4.63,4.84,674880
1/29/1998 16:00:00,4.84,4.84,4.63,4.63,685479
1/30/1998 16:00:00,4.68,5.02,4.67,4.99,1049969
2/2/1998 16:00:00,5.08,5.2,5.06,5.15,499285
2/3/1998 16:00:00,5.36,5.51,5.3,5.49,1091268
2/4/1998 16:00:00,5.41,5.41,5.12,5.19,511885
2/5/1998 16:00:00,5.42,5.47,5.22,5.23,329890
2/6/1998 16:00:00,5.2,5.23,5.06,5.2,225893
2/9/1998 16:00:00,5.21,5.23,5.01,5.02,393188
2/10/1998 16:00:00,5.11,5.24,5.09,5.18,367489
2/11/1998 16:00:00,5.35,5.35,5.23,5.34,628680
2/12/1998 16:00:00,5.46,5.57,5.43,5.57,731678
2/13/1998 16:00:00,5.49,5.49,5.41,5.44,362589
2/17/1998 16:00:00,5.66,5.7,5.61,5.64,444987
2/18/1998 16:00:00,5.66,5.74,5.64,5.73,345589
2/19/1998 16:00:00,5.86,5.86,5.81,5.86,237293
2/20/1998 16:00:00,5.89,5.91,5.69,5.91,362589
2/23/1998 16:00:00,5.68,5.7,5.55,5.57,216893
2/24/1998 16:00:00,5.62,5.73,5.58,5.69,536383
2/25/1998 16:00:00,5.78,6.19,5.77,6.11,785377
2/26/1998 16:00:00,6.39,6.39,6.23,6.26,328590
2/27/1998 16:00:00,6.18,6.18,5.97,6.03,208294
3/2/1998 16:00:00,6.05,6.05,5.93,5.93,155695
3/3/1998 16:00:00,5.87,5.94,5.76,5.87,498585
3/4/1998 16:00:00,5.62,5.68,5.57,5.58,376688
3/5/1998 16:00:00,5.25,5.26,5.06,5.07,623681
3/6/1998 16:00:00,5.27,5.64,5.27,5.55,629381
3/9/1998 16:00:00,5.31,5.45,5.26,5.39,184194
3/10/1998 16:00:00,5.42,5.51,5.41,5.51,250392
3/11/1998 16:00:00,5.73,5.78,5.72,5.73,193694
3/12/1998 16:00:00,5.73,5.73,5.57,5.65,100296
3/13/1998 16:00:00,5.71,5.72,5.6,5.65,189394
3/16/1998 16:00:00,5.73,5.73,5.62,5.62,264091
3/17/1998 16:00:00,5.64,5.64,5.39,5.4,478285
3/18/1998 16:00:00,5.34,5.34,5.27,5.28,451086
3/19/1998 16:00:00,5.34,5.44,5.34,5.41,278491
3/20/1998 16:00:00,5.43,5.47,5.38,5.4,422587
3/23/1998 16:00:00,5.25,5.28,5.23,5.26,154594
3/24/1998 16:00:00,5.36,5.47,5.36,5.44,197894
3/25/1998 16:00:00,5.68,5.73,5.62,5.68,518584
3/26/1998 16:00:00,5.62,5.65,5.6,5.64,192893
3/27/1998 16:00:00,5.68,5.7,5.6,5.62,149995
3/30/1998 16:00:00,5.6,5.61,5.49,5.53,141595
3/31/1998 16:00:00,5.53,5.53,5.43,5.44,694179
4/1/1998 16:00:00,5.41,5.41,5.35,5.4,247192
4/2/1998 16:00:00,5.39,5.39,5.31,5.34,76197
4/3/1998 16:00:00,5.39,5.39,5.31,5.34,127596
4/6/1998 16:00:00,5.35,5.39,5.32,5.32,70297
4/7/1998 16:00:00,5.26,5.27,5.15,5.15,247692
4/8/1998 16:00:00,5.2,5.24,5.19,5.24,132796
4/9/1998 16:00:00,5.11,5.2,5.1,5.16,176294
4/13/1998 16:00:00,5.06,5.06,4.89,4.93,286991
4/14/1998 16:00:00,4.9,5.02,4.86,5.02,313591
4/15/1998 16:00:00,5.06,5.1,5.02,5.06,246292
4/16/1998 16:00:00,4.98,4.98,4.86,4.91,214994
4/17/1998 16:00:00,4.81,4.82,4.76,4.78,191393
4/20/1998 16:00:00,4.77,4.78,4.68,4.76,226993
4/21/1998 16:00:00,4.81,4.95,4.81,4.94,250593
4/22/1998 16:00:00,5.05,5.23,4.98,5.22,450586
4/23/1998 16:00:00,5.13,5.16,5.1,5.11,487785
4/24/1998 16:00:00,5.16,5.23,5.15,5.22,266592
4/27/1998 16:00:00,5.09,5.09,4.94,4.98,187494
4/28/1998 16:00:00,5.11,5.15,5.1,5.14,342089
4/29/1998 16:00:00,5.09,5.12,5.01,5.12,174094
4/30/1998 16:00:00,5.2,5.2,5.15,5.16,260592
