Date,Open,High,Low,Close,Volume
6/1/1972 16:00:00,2.34,2.34,2.34,2.34,0
6/2/1972 16:00:00,2.31,2.31,2.31,2.31,0
6/5/1972 16:00:00,2.25,2.25,2.25,2.25,0
6/6/1972 16:00:00,2.23,2.23,2.23,2.23,0
6/7/1972 16:00:00,2.23,2.23,2.23,2.23,0
6/8/1972 16:00:00,2.23,2.23,2.23,2.23,0
6/9/1972 16:00:00,2.22,2.22,2.22,2.22,0
6/12/1972 16:00:00,2.25,2.25,2.25,2.25,0
6/13/1972 16:00:00,2.28,2.28,2.28,2.28,0
6/14/1972 16:00:00,2.33,2.33,2.33,2.33,0
6/15/1972 16:00:00,2.31,2.31,2.31,2.31,0
6/16/1972 16:00:00,2.31,2.31,2.31,2.31,0
6/19/1972 16:00:00,2.33,2.33,2.33,2.33,0
6/20/1972 16:00:00,2.34,2.34,2.34,2.34,0
6/21/1972 16:00:00,2.35,2.35,2.35,2.35,0
6/22/1972 16:00:00,2.34,2.34,2.34,2.34,0
6/23/1972 16:00:00,2.33,2.33,2.33,2.33,0
6/26/1972 16:00:00,2.31,2.31,2.31,2.31,0
6/27/1972 16:00:00,2.3,2.3,2.3,2.3,0
6/28/1972 16:00:00,2.3,2.3,2.3,2.3,0
6/29/1972 16:00:00,2.32,2.32,2.32,2.32,0
6/30/1972 16:00:00,2.32,2.32,2.32,2.32,0
7/3/1972 16:00:00,2.32,2.32,2.32,2.32,0
7/4/1972 16:00:00,2.32,2.32,2.32,2.32,0
7/5/1972 16:00:00,2.33,2.33,2.33,2.33,0
7/6/1972 16:00:00,2.34,2.34,2.34,2.34,0
7/7/1972 16:00:00,2.33,2.33,2.33,2.33,0
7/10/1972 16:00:00,2.31,2.31,2.31,2.31,0
7/11/1972 16:00:00,2.3,2.3,2.3,2.3,0
7/12/1972 16:00:00,2.33,2.33,2.33,2.33,0
7/13/1972 16:00:00,2.33,2.33,2.33,2.33,0
7/14/1972 16:00:00,2.34,2.34,2.34,2.34,0
7/17/1972 16:00:00,2.34,2.34,2.34,2.34,0
7/18/1972 16:00:00,2.36,2.36,2.36,2.36,0
7/19/1972 16:00:00,2.35,2.35,2.35,2.35,0
7/20/1972 16:00:00,2.37,2.37,2.37,2.37,0
7/21/1972 16:00:00,2.39,2.39,2.39,2.39,0
7/24/1972 16:00:00,2.43,2.43,2.43,2.43,0
7/25/1972 16:00:00,2.34,2.34,2.34,2.34,0
7/26/1972 16:00:00,2.34,2.34,2.34,2.34,0
7/27/1972 16:00:00,2.36,2.36,2.36,2.36,0
7/28/1972 16:00:00,2.38,2.38,2.38,2.38,0
7/31/1972 16:00:00,2.38,2.38,2.38,2.38,0
8/1/1972 16:00:00,2.36,2.36,2.36,2.36,0
8/2/1972 16:00:00,2.39,2.39,2.39,2.39,0
8/3/1972 16:00:00,2.41,2.41,2.41,2.41,0
8/4/1972 16:00:00,2.4,2.4,2.4,2.4,0
8/7/1972 16:00:00,2.39,2.39,2.39,2.39,0
8/8/1972 16:00:00,2.38,2.38,2.38,2.38,0
8/9/1972 16:00:00,2.34,2.34,2.34,2.34,0
8/10/1972 16:00:00,2.36,2.36,2.36,2.36,0
8/11/1972 16:00:00,2.43,2.43,2.43,2.43,0
8/14/1972 16:00:00,2.45,2.45,2.45,2.45,0
8/15/1972 16:00:00,2.45,2.45,2.45,2.45,0
8/16/1972 16:00:00,2.44,2.44,2.44,2.44,0
8/17/1972 16:00:00,2.46,2.46,2.46,2.46,0
8/18/1972 16:00:00,2.49,2.49,2.49,2.49,0
8/21/1972 16:00:00,2.49,2.49,2.49,2.49,0
8/22/1972 16:00:00,2.54,2.54,2.54,2.54,0
8/23/1972 16:00:00,2.51,2.51,2.51,2.51,0
8/24/1972 16:00:00,2.48,2.48,2.48,2.48,0
8/25/1972 16:00:00,2.46,2.46,2.46,2.46,0
8/28/1972 16:00:00,2.48,2.48,2.48,2.48,0
8/29/1972 16:00:00,2.47,2.47,2.47,2.47,0
8/30/1972 16:00:00,2.5,2.5,2.5,2.5,0
8/31/1972 16:00:00,2.54,2.54,2.54,2.54,0
9/1/1972 16:00:00,2.54,2.54,2.54,2.54,0
9/4/1972 16:00:00,2.54,2.54,2.54,2.54,0
9/5/1972 16:00:00,2.54,2.54,2.54,2.54,0
9/6/1972 16:00:00,2.54,2.54,2.54,2.54,0
9/7/1972 16:00:00,2.53,2.53,2.53,2.53,0
9/8/1972 16:00:00,2.54,2.54,2.54,2.54,0
9/11/1972 16:00:00,2.5,2.5,2.5,2.5,0
9/12/1972 16:00:00,2.47,2.47,2.47,2.47,0
9/13/1972 16:00:00,2.5,2.5,2.5,2.5,0
9/14/1972 16:00:00,2.49,2.49,2.49,2.49,0
9/15/1972 16:00:00,2.51,2.51,2.51,2.51,0
9/18/1972 16:00:00,2.5,2.5,2.5,2.5,0
9/19/1972 16:00:00,2.5,2.5,2.5,2.5,0
9/20/1972 16:00:00,2.48,2.48,2.48,2.48,0
9/21/1972 16:00:00,2.47,2.47,2.47,2.47,0
9/22/1972 16:00:00,2.45,2.45,2.45,2.45,0
9/25/1972 16:00:00,2.45,2.45,2.45,2.45,0
9/26/1972 16:00:00,2.47,2.47,2.47,2.47,0
9/27/1972 16:00:00,2.49,2.49,2.49,2.49,0
9/28/1972 16:00:00,2.52,2.52,2.52,2.52,0
9/29/1972 16:00:00,2.54,2.54,2.54,2.54,0
10/2/1972 16:00:00,2.55,2.55,2.55,2.55,0
10/3/1972 16:00:00,2.59,2.59,2.59,2.59,0
10/4/1972 16:00:00,2.61,2.61,2.61,2.61,0
10/5/1972 16:00:00,2.59,2.59,2.59,2.59,0
10/6/1972 16:00:00,2.59,2.59,2.59,2.59,0
10/9/1972 16:00:00,2.6,2.6,2.6,2.6,0
10/10/1972 16:00:00,2.6,2.6,2.6,2.6,0
10/11/1972 16:00:00,2.59,2.59,2.59,2.59,0
10/12/1972 16:00:00,2.59,2.59,2.59,2.59,0
10/13/1972 16:00:00,2.58,2.58,2.58,2.58,0
10/16/1972 16:00:00,2.55,2.55,2.55,2.55,0
10/17/1972 16:00:00,2.59,2.59,2.59,2.59,0
10/18/1972 16:00:00,2.62,2.62,2.62,2.62,0
10/19/1972 16:00:00,2.62,2.62,2.62,2.62,0
10/20/1972 16:00:00,2.63,2.63,2.63,2.63,0
10/23/1972 16:00:00,2.63,2.63,2.63,2.63,0
10/24/1972 16:00:00,2.64,2.64,2.64,2.64,0
10/25/1972 16:00:00,2.65,2.65,2.65,2.65,0
10/26/1972 16:00:00,2.64,2.64,2.64,2.64,0
10/27/1972 16:00:00,2.63,2.63,2.63,2.63,0
10/30/1972 16:00:00,2.58,2.58,2.58,2.58,0
10/31/1972 16:00:00,2.61,2.61,2.61,2.61,0
11/1/1972 16:00:00,2.66,2.66,2.66,2.66,0
11/2/1972 16:00:00,2.64,2.64,2.64,2.64,0
11/3/1972 16:00:00,2.66,2.66,2.66,2.66,0
11/6/1972 16:00:00,2.68,2.68,2.68,2.68,0
11/7/1972 16:00:00,2.68,2.68,2.68,2.68,0
11/8/1972 16:00:00,2.68,2.68,2.68,2.68,0
